city,state,location
Florence,AL,"Florence, AL"
Rocky Hill,CT,"Rocky Hill, CT"
Herkimer,NY,"Herkimer, NY"
Bristol,CT,"Bristol, CT"
Foley,AL,"Foley, AL"
Danbury,CT,"Danbury, CT"
Waterford,CT,"Waterford, CT"
Middle Island,NY,"Middle Island, NY"
Hartselle,AL,"Hartselle, AL"
Airmont,NY,"Airmont, NY"
Hornell,NY,"Hornell, NY"
Fairhope,AL,"Fairhope, AL"
Sturbridge,MA,"Sturbridge, MA"
Opelika,AL,"Opelika, AL"
Hudson,MA,"Hudson, MA"
Foley,AL,"Foley, AL"
Bellingham,MA,"Bellingham, MA"
Pell City,AL,"Pell City, AL"
North Attleboro,MA,"North Attleboro, MA"
Waterford,CT,"Waterford, CT"
Lowville,NY,"Lowville, NY"
Cicero,NY,"Cicero, NY"
Centereach,NY,"Centereach, NY"
Huntsville,AL,"Huntsville, AL"
Monroe,NY,"Monroe, NY"
Muscle Shoals,AL,"Muscle Shoals, AL"
Newington,CT,"Newington, CT"
Malone,NY,"Malone, NY"
Leominster,MA,"Leominster, MA"
Winfield,AL,"Winfield, AL"
Moulton,AL,"Moulton, AL"
Alabaster,AL,"Alabaster, AL"
Latham,NY,"Latham, NY"
Pell City,AL,"Pell City, AL"
Florence,AL,"Florence, AL"
Athens,AL,"Athens, AL"
Malone,NY,"Malone, NY"
Shelton,CT,"Shelton, CT"
Calera,AL,"Calera, AL"
Attalla,AL,"Attalla, AL"
Macedon,NY,"Macedon, NY"
Huntsville,AL,"Huntsville, AL"
Adamsville,AL,"Adamsville, AL"
Hudson,MA,"Hudson, MA"
Wetumpka,AL,"Wetumpka, AL"
Fairhaven,MA,"Fairhaven, MA"
Homewood,AL,"Homewood, AL"
Hamburg,NY,"Hamburg, NY"
Albany,NY,"Albany, NY"
New Haven,CT,"New Haven, CT"
Chicopee,MA,"Chicopee, MA"
Phenix City,AL,"Phenix City, AL"
Alexander City,AL,"Alexander City, AL"
Cullman,AL,"Cullman, AL"
Scottsboro,AL,"Scottsboro, AL"
Centre,AL,"Centre, AL"
Branford,CT,"Branford, CT"
Dothan,AL,"Dothan, AL"
Halfmoon,NY,"Halfmoon, NY"
Malone,NY,"Malone, NY"
Latham,NY,"Latham, NY"
Manchester,CT,"Manchester, CT"
Northborough,MA,"Northborough, MA"
Valley,AL,"Valley, AL"
Chicopee,MA,"Chicopee, MA"
Macedon,NY,"Macedon, NY"
Macedon,NY,"Macedon, NY"
Calera,AL,"Calera, AL"
Bessemer,AL,"Bessemer, AL"
Salem,MA,"Salem, MA"
Auburn,NY,"Auburn, NY"
Glenmont,NY,"Glenmont, NY"
Clarence,NY,"Clarence, NY"
Andalusia,AL,"Andalusia, AL"
Guntersville,AL,"Guntersville, AL"
Canandaigua,NY,"Canandaigua, NY"
Ware,MA,"Ware, MA"
Guntersville,AL,"Guntersville, AL"
Framingham,MA,"Framingham, MA"
Herkimer,NY,"Herkimer, NY"
Fishkill,NY,"Fishkill, NY"
Northport,AL,"Northport, AL"
Hamilton,AL,"Hamilton, AL"
Lowville,NY,"Lowville, NY"
Lakewood,NY,"Lakewood, NY"
Pelham,AL,"Pelham, AL"
Bristol,CT,"Bristol, CT"
Latham,NY,"Latham, NY"
Wareham,MA,"Wareham, MA"
East Meadow,NY,"East Meadow, NY"
Plymouth,MA,"Plymouth, MA"
Central Square,NY,"Central Square, NY"
Framingham,MA,"Framingham, MA"
Commack,NY,"Commack, NY"
East Meadow,NY,"East Meadow, NY"
Lunenburg,MA,"Lunenburg, MA"
Massena,NY,"Massena, NY"
Gardner,MA,"Gardner, MA"
Ozark,AL,"Ozark, AL"
Dothan,AL,"Dothan, AL"
Massapequa,NY,"Massapequa, NY"
Swansea,MA,"Swansea, MA"
Plymouth,MA,"Plymouth, MA"
Vestavia Hills,AL,"Vestavia Hills, AL"
Gadsden,AL,"Gadsden, AL"
Brent,AL,"Brent, AL"
Florence,AL,"Florence, AL"
Waterbury,CT,"Waterbury, CT"
Springville,AL,"Springville, AL"
Fayette,AL,"Fayette, AL"
Alabaster,AL,"Alabaster, AL"
Danvers,MA,"Danvers, MA"
Adamsville,AL,"Adamsville, AL"
Enterprise,AL,"Enterprise, AL"
Danvers,MA,"Danvers, MA"
Valley,AL,"Valley, AL"
East Falmouth,MA,"East Falmouth, MA"
Moulton,AL,"Moulton, AL"
Greenville,AL,"Greenville, AL"
Central Square,NY,"Central Square, NY"
Guilford,CT,"Guilford, CT"
Birmingham,AL,"Birmingham, AL"
Quincy,MA,"Quincy, MA"
Johnstown,NY,"Johnstown, NY"
Adamsville,AL,"Adamsville, AL"
Quincy,MA,"Quincy, MA"
Tallassee,AL,"Tallassee, AL"
North Dartmouth,MA,"North Dartmouth, MA"
Enterprise,AL,"Enterprise, AL"
West Haven,CT,"West Haven, CT"
Lunenburg,MA,"Lunenburg, MA"
Lynn,MA,"Lynn, MA"
Prattville,AL,"Prattville, AL"
Alexander City,AL,"Alexander City, AL"
Anniston,AL,"Anniston, AL"
East Falmouth,MA,"East Falmouth, MA"
New Hartford,NY,"New Hartford, NY"
Lowville,NY,"Lowville, NY"
Haleyville,AL,"Haleyville, AL"
Shelton,CT,"Shelton, CT"
Fayette,AL,"Fayette, AL"
Brockport,NY,"Brockport, NY"
Hanover,MA,"Hanover, MA"
Ozark,AL,"Ozark, AL"
Wetumpka,AL,"Wetumpka, AL"
North Oxford,MA,"North Oxford, MA"
East Meadow,NY,"East Meadow, NY"
Naugatuck,CT,"Naugatuck, CT"
Oxford,AL,"Oxford, AL"
Gardner,MA,"Gardner, MA"
Ozark,AL,"Ozark, AL"
Clarence,NY,"Clarence, NY"
Hueytown,AL,"Hueytown, AL"
Fairhaven,MA,"Fairhaven, MA"
Birmingham,AL,"Birmingham, AL"
Clarence,NY,"Clarence, NY"
Geneva,NY,"Geneva, NY"
Selma,AL,"Selma, AL"
Naugatuck,CT,"Naugatuck, CT"
Orange,MA,"Orange, MA"
Waterford,CT,"Waterford, CT"
Methuen,MA,"Methuen, MA"
Glenville,NY,"Glenville, NY"
Dothan,AL,"Dothan, AL"
Brockport,NY,"Brockport, NY"
Semmes,AL,"Semmes, AL"
Quincy,MA,"Quincy, MA"
Rocky Hill,CT,"Rocky Hill, CT"
Attalla,AL,"Attalla, AL"
Sumiton,AL,"Sumiton, AL"
Catskill,NY,"Catskill, NY"
Northborough,MA,"Northborough, MA"
Waterbury,CT,"Waterbury, CT"
Monticello,NY,"Monticello, NY"
Leeds,AL,"Leeds, AL"
North Adams,MA,"North Adams, MA"
Monticello,NY,"Monticello, NY"
Gadsden,AL,"Gadsden, AL"
Hudson,MA,"Hudson, MA"
Walpole,MA,"Walpole, MA"
Hartford,CT,"Hartford, CT"
Bellingham,MA,"Bellingham, MA"
Jackson,AL,"Jackson, AL"
Brockport,NY,"Brockport, NY"
Milford,CT,"Milford, CT"
Millbrook,AL,"Millbrook, AL"
Norwalk,CT,"Norwalk, CT"
Chelsea,AL,"Chelsea, AL"
Bay Minette,AL,"Bay Minette, AL"
Fairhaven,MA,"Fairhaven, MA"
Hamden,CT,"Hamden, CT"
Madison,AL,"Madison, AL"
Johnson City,NY,"Johnson City, NY"
Tallassee,AL,"Tallassee, AL"
Hueytown,AL,"Hueytown, AL"
Geneva,AL,"Geneva, AL"
Saraland,AL,"Saraland, AL"
Thomasville,AL,"Thomasville, AL"
Salem,MA,"Salem, MA"
Sylacauga,AL,"Sylacauga, AL"
Johnstown,NY,"Johnstown, NY"
North Attleboro,MA,"North Attleboro, MA"
Ozark,AL,"Ozark, AL"
Tuscaloosa,AL,"Tuscaloosa, AL"
Monroe,NY,"Monroe, NY"
Jacksonville,AL,"Jacksonville, AL"
Ozark,AL,"Ozark, AL"
Swansea,MA,"Swansea, MA"
Muscle Shoals,AL,"Muscle Shoals, AL"
Cortlandville,NY,"Cortlandville, NY"
Oneonta,AL,"Oneonta, AL"
Middletown,NY,"Middletown, NY"
North Attleboro,MA,"North Attleboro, MA"
Homewood,AL,"Homewood, AL"
Latham,NY,"Latham, NY"
Demopolis,AL,"Demopolis, AL"
Hamilton,AL,"Hamilton, AL"
Hornell,NY,"Hornell, NY"
Putnam,CT,"Putnam, CT"
North Oxford,MA,"North Oxford, MA"
Leicester,MA,"Leicester, MA"
Jackson,AL,"Jackson, AL"
Wallingford,CT,"Wallingford, CT"
Catskill,NY,"Catskill, NY"
East Falmouth,MA,"East Falmouth, MA"
Foley,AL,"Foley, AL"
Airmont,NY,"Airmont, NY"
North Windham,CT,"North Windham, CT"
Batavia,NY,"Batavia, NY"
Hanover,MA,"Hanover, MA"
Madison,AL,"Madison, AL"
Boaz,AL,"Boaz, AL"
Fredonia,NY,"Fredonia, NY"
Monticello,NY,"Monticello, NY"
Danvers,MA,"Danvers, MA"
Thomasville,AL,"Thomasville, AL"
Clarence,NY,"Clarence, NY"
Alabaster,AL,"Alabaster, AL"
Andalusia,AL,"Andalusia, AL"
Fredonia,NY,"Fredonia, NY"
Hornell,NY,"Hornell, NY"
Scottsboro,AL,"Scottsboro, AL"
Bay Minette,AL,"Bay Minette, AL"
Russellville,AL,"Russellville, AL"
Old Saybrook,CT,"Old Saybrook, CT"
Hamilton,AL,"Hamilton, AL"
Bessemer,AL,"Bessemer, AL"
Hudson,MA,"Hudson, MA"
Camillus,NY,"Camillus, NY"
Greenville,AL,"Greenville, AL"
Latham,NY,"Latham, NY"
Hamburg,NY,"Hamburg, NY"
Pell City,AL,"Pell City, AL"
Hamburg,NY,"Hamburg, NY"
Opelika,AL,"Opelika, AL"
Monroe,NY,"Monroe, NY"
Fairhope,AL,"Fairhope, AL"
Monroe,NY,"Monroe, NY"
Middletown,NY,"Middletown, NY"
Macedon,NY,"Macedon, NY"
Arab,AL,"Arab, AL"
Halifax,MA,"Halifax, MA"
Sturbridge,MA,"Sturbridge, MA"
Chicopee,MA,"Chicopee, MA"
Pell City,AL,"Pell City, AL"
Fulton,NY,"Fulton, NY"
Brockport,NY,"Brockport, NY"
Center Point,AL,"Center Point, AL"
North Reading,MA,"North Reading, MA"
Norwich,CT,"Norwich, CT"
Vestavia Hills,AL,"Vestavia Hills, AL"
Centereach,NY,"Centereach, NY"
Demopolis,AL,"Demopolis, AL"
Oxford,AL,"Oxford, AL"
Plymouth,MA,"Plymouth, MA"
Monroeville,AL,"Monroeville, AL"
Putnam,CT,"Putnam, CT"
Prattville,AL,"Prattville, AL"
Huntsville,AL,"Huntsville, AL"
Hartselle,AL,"Hartselle, AL"
Farmingdale,NY,"Farmingdale, NY"
Alexander City,AL,"Alexander City, AL"
Muscle Shoals,AL,"Muscle Shoals, AL"
Arab,AL,"Arab, AL"
Central Square,NY,"Central Square, NY"
Hudson,MA,"Hudson, MA"
Clarence,NY,"Clarence, NY"
Oxford,AL,"Oxford, AL"
Cobleskill,NY,"Cobleskill, NY"
Avon,MA,"Avon, MA"
Huntsville,AL,"Huntsville, AL"
Naugatuck,CT,"Naugatuck, CT"
Jacksonville,AL,"Jacksonville, AL"
East Syracuse,NY,"East Syracuse, NY"
Shelton,CT,"Shelton, CT"
Arab,AL,"Arab, AL"
Clanton,AL,"Clanton, AL"
Semmes,AL,"Semmes, AL"
Dothan,AL,"Dothan, AL"
Hadley,MA,"Hadley, MA"
Cheektowaga,NY,"Cheektowaga, NY"
Ware,MA,"Ware, MA"
Hadley,MA,"Hadley, MA"
Cortlandville,NY,"Cortlandville, NY"
Danvers,MA,"Danvers, MA"
Avon,CT,"Avon, CT"
Derby,CT,"Derby, CT"
Andalusia,AL,"Andalusia, AL"
Ozark,AL,"Ozark, AL"
Lancaster,NY,"Lancaster, NY"
Old Saybrook,CT,"Old Saybrook, CT"
Herkimer,NY,"Herkimer, NY"
Hoover,AL,"Hoover, AL"
Calera,AL,"Calera, AL"
Pittsfield,MA,"Pittsfield, MA"
Avon,MA,"Avon, MA"
Catskill,NY,"Catskill, NY"
Montgomery,AL,"Montgomery, AL"
Moulton,AL,"Moulton, AL"
Troy,AL,"Troy, AL"
Enterprise,AL,"Enterprise, AL"
Ware,MA,"Ware, MA"
Cortlandville,NY,"Cortlandville, NY"
Amsterdam,NY,"Amsterdam, NY"
Andalusia,AL,"Andalusia, AL"
Commack,NY,"Commack, NY"
Hamilton,AL,"Hamilton, AL"
Bristol,CT,"Bristol, CT"
Northborough,MA,"Northborough, MA"
Putnam,CT,"Putnam, CT"
Swansea,MA,"Swansea, MA"
Hanover,MA,"Hanover, MA"
Canandaigua,NY,"Canandaigua, NY"
Johnstown,NY,"Johnstown, NY"
Halifax,MA,"Halifax, MA"
Latham,NY,"Latham, NY"
Chelsea,AL,"Chelsea, AL"
Walpole,MA,"Walpole, MA"
North Attleboro,MA,"North Attleboro, MA"
Mobile,AL,"Mobile, AL"
Glenmont,NY,"Glenmont, NY"
Jackson,AL,"Jackson, AL"
Avon,MA,"Avon, MA"
Center Point,AL,"Center Point, AL"
Pelham,AL,"Pelham, AL"
Northhampton,MA,"Northhampton, MA"
Fall River,MA,"Fall River, MA"
Massapequa,NY,"Massapequa, NY"
Walpole,MA,"Walpole, MA"
Monroe,NY,"Monroe, NY"
Tuscaloosa,AL,"Tuscaloosa, AL"
Groton,CT,"Groton, CT"
Brockport,NY,"Brockport, NY"
Bay Minette,AL,"Bay Minette, AL"
Salem,MA,"Salem, MA"
Shelton,CT,"Shelton, CT"
Lynn,MA,"Lynn, MA"
Lowville,NY,"Lowville, NY"
Fairhope,AL,"Fairhope, AL"
Geneseo,NY,"Geneseo, NY"
Hudson,MA,"Hudson, MA"
Bristol,CT,"Bristol, CT"
Monticello,NY,"Monticello, NY"
Haleyville,AL,"Haleyville, AL"
Kingston,NY,"Kingston, NY"
Hamburg,NY,"Hamburg, NY"
Norwich,CT,"Norwich, CT"
Albany,NY,"Albany, NY"
Derby,CT,"Derby, CT"
Brent,AL,"Brent, AL"
Jacksonville,AL,"Jacksonville, AL"
Kingston,NY,"Kingston, NY"
Gardendale,AL,"Gardendale, AL"
Athens,AL,"Athens, AL"
Avon,CT,"Avon, CT"
North Attleboro,MA,"North Attleboro, MA"
Putnam,CT,"Putnam, CT"
Hamden,CT,"Hamden, CT"
Opelika,AL,"Opelika, AL"
Centereach,NY,"Centereach, NY"
Northport,AL,"Northport, AL"
Madison,AL,"Madison, AL"
Hamburg,NY,"Hamburg, NY"
Auburn,AL,"Auburn, AL"
Phenix City,AL,"Phenix City, AL"
Centre,AL,"Centre, AL"
Manchester,CT,"Manchester, CT"
Middle Island,NY,"Middle Island, NY"
Sturbridge,MA,"Sturbridge, MA"
Farmingdale,NY,"Farmingdale, NY"
Russellville,AL,"Russellville, AL"
Canandaigua,NY,"Canandaigua, NY"
Glenmont,NY,"Glenmont, NY"
East Greenbush,NY,"East Greenbush, NY"
Prattville,AL,"Prattville, AL"
Wetumpka,AL,"Wetumpka, AL"
Hornell,NY,"Hornell, NY"
Cobleskill,NY,"Cobleskill, NY"
Newington,CT,"Newington, CT"
Russellville,AL,"Russellville, AL"
Lakewood,NY,"Lakewood, NY"
Groton,CT,"Groton, CT"
Wallingford,CT,"Wallingford, CT"
Tewksbury,MA,"Tewksbury, MA"
Salem,MA,"Salem, MA"
Macedon,NY,"Macedon, NY"
Gulf Shores,AL,"Gulf Shores, AL"
Moulton,AL,"Moulton, AL"
Albion,NY,"Albion, NY"
Hamburg,NY,"Hamburg, NY"
Calera,AL,"Calera, AL"
Leeds,AL,"Leeds, AL"
Homewood,AL,"Homewood, AL"
Hamburg,NY,"Hamburg, NY"
Avon,CT,"Avon, CT"
Norwich,CT,"Norwich, CT"
Plymouth,MA,"Plymouth, MA"
Newington,CT,"Newington, CT"
Hoover,AL,"Hoover, AL"
Clay,NY,"Clay, NY"
Andalusia,AL,"Andalusia, AL"
Madison,AL,"Madison, AL"
Andalusia,AL,"Andalusia, AL"
Gardner,MA,"Gardner, MA"
Alexander City,AL,"Alexander City, AL"
Fairhaven,MA,"Fairhaven, MA"
Calera,AL,"Calera, AL"
New Hartford,NY,"New Hartford, NY"
Springville,AL,"Springville, AL"
Greece,NY,"Greece, NY"
Lancaster,NY,"Lancaster, NY"
North Windham,CT,"North Windham, CT"
Fort Payne,AL,"Fort Payne, AL"
Commack,NY,"Commack, NY"
Geneseo,NY,"Geneseo, NY"
Madison,AL,"Madison, AL"
Decatur,AL,"Decatur, AL"
Clay,NY,"Clay, NY"
Glenmont,NY,"Glenmont, NY"
Greenville,AL,"Greenville, AL"
Jackson,AL,"Jackson, AL"
Manchester,CT,"Manchester, CT"
Scottsboro,AL,"Scottsboro, AL"
East Windsor,CT,"East Windsor, CT"
Thomasville,AL,"Thomasville, AL"
Fairhaven,MA,"Fairhaven, MA"
Hanover,MA,"Hanover, MA"
Gardendale,AL,"Gardendale, AL"
Northport,AL,"Northport, AL"
Branford,CT,"Branford, CT"
Glenmont,NY,"Glenmont, NY"
Saraland,AL,"Saraland, AL"
Massena,NY,"Massena, NY"
Cicero,NY,"Cicero, NY"
Valley,AL,"Valley, AL"
Hartford,CT,"Hartford, CT"
Leicester,MA,"Leicester, MA"
Homewood,AL,"Homewood, AL"
Lockport,NY,"Lockport, NY"
Leominster,MA,"Leominster, MA"
Tewksbury,MA,"Tewksbury, MA"
Wallingford,CT,"Wallingford, CT"
Lancaster,NY,"Lancaster, NY"
Alabaster,AL,"Alabaster, AL"
Fayette,AL,"Fayette, AL"
Troy,AL,"Troy, AL"
Cortlandville,NY,"Cortlandville, NY"
Brockport,NY,"Brockport, NY"
North Oxford,MA,"North Oxford, MA"
Plymouth,MA,"Plymouth, MA"
Manchester,CT,"Manchester, CT"
Ozark,AL,"Ozark, AL"
Birmingham,AL,"Birmingham, AL"
Jacksonville,AL,"Jacksonville, AL"
Fairfield,AL,"Fairfield, AL"
Middletown,NY,"Middletown, NY"
Millbrook,AL,"Millbrook, AL"
Norwich,CT,"Norwich, CT"
Mobile,AL,"Mobile, AL"
East Windsor,CT,"East Windsor, CT"
Hamden,CT,"Hamden, CT"
Brockport,NY,"Brockport, NY"
Valley,AL,"Valley, AL"
Halfmoon,NY,"Halfmoon, NY"
Herkimer,NY,"Herkimer, NY"
Hornell,NY,"Hornell, NY"
Fairhaven,MA,"Fairhaven, MA"
New Hartford,NY,"New Hartford, NY"
Vestavia Hills,AL,"Vestavia Hills, AL"
Johnson City,NY,"Johnson City, NY"
Jackson,AL,"Jackson, AL"
Wallingford,CT,"Wallingford, CT"
Hartford,CT,"Hartford, CT"
Pelham,AL,"Pelham, AL"
Bay Minette,AL,"Bay Minette, AL"
Montgomery,AL,"Montgomery, AL"
Jasper,AL,"Jasper, AL"
Haleyville,AL,"Haleyville, AL"
Seekonk,MA,"Seekonk, MA"
New Milford,CT,"New Milford, CT"
Oneonta,AL,"Oneonta, AL"
Homewood,AL,"Homewood, AL"
Oneonta,AL,"Oneonta, AL"
Jackson,AL,"Jackson, AL"
East Syracuse,NY,"East Syracuse, NY"
Geneva,NY,"Geneva, NY"
Hadley,MA,"Hadley, MA"
Salem,MA,"Salem, MA"
Commack,NY,"Commack, NY"
Tuscaloosa,AL,"Tuscaloosa, AL"
Newburgh,NY,"Newburgh, NY"
Fall River,MA,"Fall River, MA"
Abington,MA,"Abington, MA"
Eufaula,AL,"Eufaula, AL"
Hoover,AL,"Hoover, AL"
Norwalk,CT,"Norwalk, CT"
Chelsea,AL,"Chelsea, AL"
Commack,NY,"Commack, NY"
Naugatuck,CT,"Naugatuck, CT"
Bellingham,MA,"Bellingham, MA"
Hoover,AL,"Hoover, AL"
Methuen,MA,"Methuen, MA"
Birmingham,AL,"Birmingham, AL"
Decatur,AL,"Decatur, AL"
East Falmouth,MA,"East Falmouth, MA"
Brewton,AL,"Brewton, AL"
Groton,CT,"Groton, CT"
Mobile,AL,"Mobile, AL"
Glenville,NY,"Glenville, NY"
Athens,AL,"Athens, AL"
Rocky Hill,CT,"Rocky Hill, CT"
Decatur,AL,"Decatur, AL"
Salem,MA,"Salem, MA"
Chelsea,AL,"Chelsea, AL"
Valley,AL,"Valley, AL"
East Greenbush,NY,"East Greenbush, NY"
Haleyville,AL,"Haleyville, AL"
Clay,NY,"Clay, NY"
North Windham,CT,"North Windham, CT"
Cobleskill,NY,"Cobleskill, NY"
Oneonta,AL,"Oneonta, AL"
Auburn,AL,"Auburn, AL"
Tallassee,AL,"Tallassee, AL"
Rocky Hill,CT,"Rocky Hill, CT"
Mohegan Lake,NY,"Mohegan Lake, NY"
Mobile,AL,"Mobile, AL"
Danbury,CT,"Danbury, CT"
North Dartmouth,MA,"North Dartmouth, MA"
Canandaigua,NY,"Canandaigua, NY"
Catskill,NY,"Catskill, NY"
Putnam,CT,"Putnam, CT"
Middle Island,NY,"Middle Island, NY"
Gadsden,AL,"Gadsden, AL"
Fall River,MA,"Fall River, MA"
Prattville,AL,"Prattville, AL"
Geneseo,NY,"Geneseo, NY"
East Falmouth,MA,"East Falmouth, MA"
Athens,AL,"Athens, AL"
Norwalk,CT,"Norwalk, CT"
Ware,MA,"Ware, MA"
Ware,MA,"Ware, MA"
Ithaca,NY,"Ithaca, NY"
East Greenbush,NY,"East Greenbush, NY"
New Hartford,NY,"New Hartford, NY"
Stratford,CT,"Stratford, CT"
Fishkill,NY,"Fishkill, NY"
Hartselle,AL,"Hartselle, AL"
Attalla,AL,"Attalla, AL"
Fayette,AL,"Fayette, AL"
Gadsden,AL,"Gadsden, AL"
Alabaster,AL,"Alabaster, AL"
Scottsboro,AL,"Scottsboro, AL"
Catskill,NY,"Catskill, NY"
New Haven,CT,"New Haven, CT"
Madison,AL,"Madison, AL"
Muscle Shoals,AL,"Muscle Shoals, AL"
Alabaster,AL,"Alabaster, AL"
Groton,CT,"Groton, CT"
Thomasville,AL,"Thomasville, AL"
Wallingford,CT,"Wallingford, CT"
Phenix City,AL,"Phenix City, AL"
Geneva,AL,"Geneva, AL"
Putnam,CT,"Putnam, CT"
North Dartmouth,MA,"North Dartmouth, MA"
Jasper,AL,"Jasper, AL"
Danvers,MA,"Danvers, MA"
Bessemer,AL,"Bessemer, AL"
Andalusia,AL,"Andalusia, AL"
Lunenburg,MA,"Lunenburg, MA"
Bellingham,MA,"Bellingham, MA"
Hoover,AL,"Hoover, AL"
Sumiton,AL,"Sumiton, AL"
Norwich,CT,"Norwich, CT"
Gardner,MA,"Gardner, MA"
Hamburg,NY,"Hamburg, NY"
Bellingham,MA,"Bellingham, MA"
Johnstown,NY,"Johnstown, NY"
Plymouth,MA,"Plymouth, MA"
Stratford,CT,"Stratford, CT"
New Milford,CT,"New Milford, CT"
Methuen,MA,"Methuen, MA"
Hadley,MA,"Hadley, MA"
Kingston,NY,"Kingston, NY"
Fort Payne,AL,"Fort Payne, AL"
Hoover,AL,"Hoover, AL"
Greenville,AL,"Greenville, AL"
North Windham,CT,"North Windham, CT"
Calera,AL,"Calera, AL"
Tuscaloosa,AL,"Tuscaloosa, AL"
Daphne,AL,"Daphne, AL"
Fairhope,AL,"Fairhope, AL"
Pell City,AL,"Pell City, AL"
Ithaca,NY,"Ithaca, NY"
Macedon,NY,"Macedon, NY"
Hoover,AL,"Hoover, AL"
Fairhope,AL,"Fairhope, AL"
Hudson,MA,"Hudson, MA"
Hornell,NY,"Hornell, NY"
Bessemer,AL,"Bessemer, AL"
Cullman,AL,"Cullman, AL"
Vestavia Hills,AL,"Vestavia Hills, AL"
Hanover,MA,"Hanover, MA"
Abington,MA,"Abington, MA"
Oxford,AL,"Oxford, AL"
Lynn,MA,"Lynn, MA"
Newburgh,NY,"Newburgh, NY"
Amsterdam,NY,"Amsterdam, NY"
Moulton,AL,"Moulton, AL"
North Windham,CT,"North Windham, CT"
Malone,NY,"Malone, NY"
Semmes,AL,"Semmes, AL"
Glenville,NY,"Glenville, NY"
Guntersville,AL,"Guntersville, AL"
Hadley,MA,"Hadley, MA"
Hueytown,AL,"Hueytown, AL"
East Greenbush,NY,"East Greenbush, NY"
Monroeville,AL,"Monroeville, AL"
Greenville,AL,"Greenville, AL"
Raynham,MA,"Raynham, MA"
Commack,NY,"Commack, NY"
Batavia,NY,"Batavia, NY"
Glenmont,NY,"Glenmont, NY"
Roanoke,AL,"Roanoke, AL"
East Syracuse,NY,"East Syracuse, NY"
Commack,NY,"Commack, NY"
Pelham,AL,"Pelham, AL"
Branford,CT,"Branford, CT"
Groton,CT,"Groton, CT"
Fayette,AL,"Fayette, AL"
New Hartford,NY,"New Hartford, NY"
New Hartford,NY,"New Hartford, NY"
Oxford,AL,"Oxford, AL"
Semmes,AL,"Semmes, AL"
Springfield,MA,"Springfield, MA"
Jasper,AL,"Jasper, AL"
Selma,AL,"Selma, AL"
Andalusia,AL,"Andalusia, AL"
Evans Mills,NY,"Evans Mills, NY"
East Greenbush,NY,"East Greenbush, NY"
Millbrook,AL,"Millbrook, AL"
Northport,AL,"Northport, AL"
Milford,CT,"Milford, CT"
Orange,MA,"Orange, MA"
Lancaster,NY,"Lancaster, NY"
Daphne,AL,"Daphne, AL"
Johnstown,NY,"Johnstown, NY"
Athens,AL,"Athens, AL"
Commack,NY,"Commack, NY"
Semmes,AL,"Semmes, AL"
Guntersville,AL,"Guntersville, AL"
Middle Island,NY,"Middle Island, NY"
Waterbury,CT,"Waterbury, CT"
Tewksbury,MA,"Tewksbury, MA"
Foley,AL,"Foley, AL"
Sylacauga,AL,"Sylacauga, AL"
Madison,AL,"Madison, AL"
Canandaigua,NY,"Canandaigua, NY"
Scottsboro,AL,"Scottsboro, AL"
Johnson City,NY,"Johnson City, NY"
Springville,AL,"Springville, AL"
East Falmouth,MA,"East Falmouth, MA"
Salem,MA,"Salem, MA"
Northhampton,MA,"Northhampton, MA"
Calera,AL,"Calera, AL"
Andalusia,AL,"Andalusia, AL"
Oxford,AL,"Oxford, AL"
Alabaster,AL,"Alabaster, AL"
Milford,CT,"Milford, CT"
Brockport,NY,"Brockport, NY"
Malone,NY,"Malone, NY"
Stratford,CT,"Stratford, CT"
Haleyville,AL,"Haleyville, AL"
Hudson,MA,"Hudson, MA"
Birmingham,AL,"Birmingham, AL"
Greenville,AL,"Greenville, AL"
Horseheads,NY,"Horseheads, NY"
Waterbury,CT,"Waterbury, CT"
Auburn,AL,"Auburn, AL"
Talladega,AL,"Talladega, AL"
Central Square,NY,"Central Square, NY"
Center Point,AL,"Center Point, AL"
Bellingham,MA,"Bellingham, MA"
Albion,NY,"Albion, NY"
Bristol,CT,"Bristol, CT"
Gardner,MA,"Gardner, MA"
Norwalk,CT,"Norwalk, CT"
Ware,MA,"Ware, MA"
Jasper,AL,"Jasper, AL"
Huntsville,AL,"Huntsville, AL"
New Haven,CT,"New Haven, CT"
Framingham,MA,"Framingham, MA"
Salem,MA,"Salem, MA"
Lisbon,CT,"Lisbon, CT"
Roanoke,AL,"Roanoke, AL"
Tuscaloosa,AL,"Tuscaloosa, AL"
Haleyville,AL,"Haleyville, AL"
Sumiton,AL,"Sumiton, AL"
North Windham,CT,"North Windham, CT"
Johnson City,NY,"Johnson City, NY"
Guilford,CT,"Guilford, CT"
Fayette,AL,"Fayette, AL"
Roanoke,AL,"Roanoke, AL"
Bay Minette,AL,"Bay Minette, AL"
Decatur,AL,"Decatur, AL"
Ware,MA,"Ware, MA"
Waterford,CT,"Waterford, CT"
Monroe,NY,"Monroe, NY"
Naugatuck,CT,"Naugatuck, CT"
Bellingham,MA,"Bellingham, MA"
Bristol,CT,"Bristol, CT"
Haleyville,AL,"Haleyville, AL"
Malone,NY,"Malone, NY"
New Milford,CT,"New Milford, CT"
Southington,CT,"Southington, CT"
Leicester,MA,"Leicester, MA"
Lowville,NY,"Lowville, NY"
Swansea,MA,"Swansea, MA"
Alexander City,AL,"Alexander City, AL"
Middletown,NY,"Middletown, NY"
Cheektowaga,NY,"Cheektowaga, NY"
