primary_color,secondary_color,tertiary_color,rgb_color
225,23,132,"225, 23, 132"
203,219,74,"203, 219, 74"
207,162,28,"207, 162, 28"
228,216,228,"228, 216, 228"
70,6,106,"70, 6, 106"
163,85,6,"163, 85, 6"
189,158,49,"189, 158, 49"
157,211,197,"157, 211, 197"
176,159,75,"176, 159, 75"
96,54,151,"96, 54, 151"
97,200,220,"97, 200, 220"
114,69,30,"114, 69, 30"
173,160,84,"173, 160, 84"
147,121,68,"147, 121, 68"
151,178,219,"151, 178, 219"
72,123,196,"72, 123, 196"
182,141,105,"182, 141, 105"
8,227,65,"8, 227, 65"
91,48,99,"91, 48, 99"
171,88,66,"171, 88, 66"
96,11,75,"96, 11, 75"
221,191,45,"221, 191, 45"
100,17,1,"100, 17, 1"
149,67,57,"149, 67, 57"
58,216,150,"58, 216, 150"
170,100,129,"170, 100, 129"
46,150,151,"46, 150, 151"
177,183,7,"177, 183, 7"
117,215,191,"117, 215, 191"
101,69,88,"101, 69, 88"
160,232,180,"160, 232, 180"
30,36,72,"30, 36, 72"
78,20,169,"78, 20, 169"
159,94,3,"159, 94, 3"
58,38,230,"58, 38, 230"
14,232,213,"14, 232, 213"
108,215,205,"108, 215, 205"
8,164,153,"8, 164, 153"
187,78,202,"187, 78, 202"
10,75,46,"10, 75, 46"
41,80,136,"41, 80, 136"
66,182,28,"66, 182, 28"
212,182,249,"212, 182, 249"
232,120,233,"232, 120, 233"
241,237,87,"241, 237, 87"
86,54,238,"86, 54, 238"
235,205,101,"235, 205, 101"
129,158,192,"129, 158, 192"
229,138,251,"229, 138, 251"
85,58,28,"85, 58, 28"
114,201,153,"114, 201, 153"
163,54,174,"163, 54, 174"
247,153,86,"247, 153, 86"
248,199,79,"248, 199, 79"
139,37,20,"139, 37, 20"
59,241,111,"59, 241, 111"
92,144,144,"92, 144, 144"
149,151,162,"149, 151, 162"
102,127,170,"102, 127, 170"
105,91,235,"105, 91, 235"
227,108,90,"227, 108, 90"
111,187,133,"111, 187, 133"
201,178,211,"201, 178, 211"
30,202,151,"30, 202, 151"
40,79,175,"40, 79, 175"
189,248,210,"189, 248, 210"
242,85,209,"242, 85, 209"
138,87,211,"138, 87, 211"
128,126,100,"128, 126, 100"
189,132,144,"189, 132, 144"
149,95,79,"149, 95, 79"
24,139,157,"24, 139, 157"
40,164,133,"40, 164, 133"
149,238,234,"149, 238, 234"
171,186,55,"171, 186, 55"
191,51,254,"191, 51, 254"
219,140,53,"219, 140, 53"
231,157,115,"231, 157, 115"
173,10,198,"173, 10, 198"
90,237,155,"90, 237, 155"
147,130,217,"147, 130, 217"
22,243,11,"22, 243, 11"
40,229,255,"40, 229, 255"
103,235,232,"103, 235, 232"
131,108,27,"131, 108, 27"
134,208,86,"134, 208, 86"
251,171,207,"251, 171, 207"
82,95,84,"82, 95, 84"
145,224,236,"145, 224, 236"
67,192,252,"67, 192, 252"
188,191,215,"188, 191, 215"
242,167,63,"242, 167, 63"
175,250,27,"175, 250, 27"
87,244,125,"87, 244, 125"
199,43,233,"199, 43, 233"
215,212,86,"215, 212, 86"
150,112,42,"150, 112, 42"
190,93,162,"190, 93, 162"
13,144,56,"13, 144, 56"
41,102,156,"41, 102, 156"
93,14,237,"93, 14, 237"
222,175,26,"222, 175, 26"
99,239,104,"99, 239, 104"
185,237,111,"185, 237, 111"
168,206,185,"168, 206, 185"
159,120,133,"159, 120, 133"
139,240,218,"139, 240, 218"
150,156,144,"150, 156, 144"
230,124,108,"230, 124, 108"
187,167,223,"187, 167, 223"
9,240,97,"9, 240, 97"
81,3,244,"81, 3, 244"
6,49,160,"6, 49, 160"
183,39,216,"183, 39, 216"
84,168,113,"84, 168, 113"
76,223,150,"76, 223, 150"
240,115,57,"240, 115, 57"
74,6,165,"74, 6, 165"
133,189,77,"133, 189, 77"
79,233,204,"79, 233, 204"
108,59,221,"108, 59, 221"
159,77,98,"159, 77, 98"
45,125,62,"45, 125, 62"
53,1,105,"53, 1, 105"
124,47,79,"124, 47, 79"
219,140,3,"219, 140, 3"
190,184,107,"190, 184, 107"
250,166,190,"250, 166, 190"
174,176,119,"174, 176, 119"
23,117,203,"23, 117, 203"
7,12,135,"7, 12, 135"
66,42,80,"66, 42, 80"
148,1,132,"148, 1, 132"
237,140,219,"237, 140, 219"
23,118,102,"23, 118, 102"
57,144,47,"57, 144, 47"
75,238,101,"75, 238, 101"
76,106,197,"76, 106, 197"
129,153,255,"129, 153, 255"
40,253,233,"40, 253, 233"
42,210,162,"42, 210, 162"
124,203,107,"124, 203, 107"
185,181,28,"185, 181, 28"
141,226,62,"141, 226, 62"
243,58,177,"243, 58, 177"
165,35,84,"165, 35, 84"
224,74,115,"224, 74, 115"
36,107,202,"36, 107, 202"
231,121,241,"231, 121, 241"
187,238,225,"187, 238, 225"
25,70,77,"25, 70, 77"
126,32,245,"126, 32, 245"
234,106,193,"234, 106, 193"
222,86,79,"222, 86, 79"
175,165,89,"175, 165, 89"
69,78,50,"69, 78, 50"
55,127,71,"55, 127, 71"
242,80,146,"242, 80, 146"
58,134,91,"58, 134, 91"
168,172,46,"168, 172, 46"
114,199,186,"114, 199, 186"
185,160,81,"185, 160, 81"
18,149,198,"18, 149, 198"
87,216,140,"87, 216, 140"
133,14,66,"133, 14, 66"
29,9,192,"29, 9, 192"
3,149,121,"3, 149, 121"
83,27,159,"83, 27, 159"
112,115,105,"112, 115, 105"
152,24,201,"152, 24, 201"
125,110,152,"125, 110, 152"
241,223,28,"241, 223, 28"
31,80,102,"31, 80, 102"
43,107,216,"43, 107, 216"
35,5,125,"35, 5, 125"
133,97,31,"133, 97, 31"
154,195,71,"154, 195, 71"
189,149,252,"189, 149, 252"
233,202,139,"233, 202, 139"
141,133,150,"141, 133, 150"
142,124,180,"142, 124, 180"
239,210,210,"239, 210, 210"
148,48,207,"148, 48, 207"
149,77,39,"149, 77, 39"
105,74,35,"105, 74, 35"
68,214,238,"68, 214, 238"
54,141,185,"54, 141, 185"
227,201,38,"227, 201, 38"
39,46,76,"39, 46, 76"
35,98,228,"35, 98, 228"
220,109,240,"220, 109, 240"
67,98,14,"67, 98, 14"
90,183,234,"90, 183, 234"
173,110,186,"173, 110, 186"
224,26,224,"224, 26, 224"
244,74,94,"244, 74, 94"
184,108,218,"184, 108, 218"
235,145,22,"235, 145, 22"
120,151,126,"120, 151, 126"
208,206,190,"208, 206, 190"
107,192,184,"107, 192, 184"
133,252,240,"133, 252, 240"
89,208,234,"89, 208, 234"
60,49,205,"60, 49, 205"
209,110,236,"209, 110, 236"
249,138,64,"249, 138, 64"
253,230,233,"253, 230, 233"
45,199,33,"45, 199, 33"
72,37,88,"72, 37, 88"
242,71,127,"242, 71, 127"
101,121,133,"101, 121, 133"
5,5,234,"5, 5, 234"
144,231,191,"144, 231, 191"
12,98,231,"12, 98, 231"
239,226,80,"239, 226, 80"
147,3,87,"147, 3, 87"
138,55,50,"138, 55, 50"
190,119,175,"190, 119, 175"
195,69,176,"195, 69, 176"
113,49,83,"113, 49, 83"
224,148,88,"224, 148, 88"
109,87,66,"109, 87, 66"
17,150,8,"17, 150, 8"
252,142,114,"252, 142, 114"
49,249,230,"49, 249, 230"
143,72,7,"143, 72, 7"
101,46,248,"101, 46, 248"
189,39,87,"189, 39, 87"
70,82,6,"70, 82, 6"
168,238,103,"168, 238, 103"
217,184,19,"217, 184, 19"
61,80,193,"61, 80, 193"
38,177,167,"38, 177, 167"
151,127,111,"151, 127, 111"
111,207,198,"111, 207, 198"
128,18,211,"128, 18, 211"
185,21,205,"185, 21, 205"
48,48,47,"48, 48, 47"
243,180,67,"243, 180, 67"
140,140,130,"140, 140, 130"
172,116,84,"172, 116, 84"
158,46,18,"158, 46, 18"
211,161,56,"211, 161, 56"
193,215,214,"193, 215, 214"
176,81,124,"176, 81, 124"
199,211,178,"199, 211, 178"
221,74,8,"221, 74, 8"
204,62,223,"204, 62, 223"
131,248,117,"131, 248, 117"
26,43,48,"26, 43, 48"
133,132,103,"133, 132, 103"
171,28,2,"171, 28, 2"
139,228,193,"139, 228, 193"
130,244,195,"130, 244, 195"
148,111,171,"148, 111, 171"
52,235,141,"52, 235, 141"
100,124,199,"100, 124, 199"
208,217,48,"208, 217, 48"
11,74,28,"11, 74, 28"
58,156,48,"58, 156, 48"
160,254,250,"160, 254, 250"
228,78,112,"228, 78, 112"
149,250,174,"149, 250, 174"
90,36,32,"90, 36, 32"
65,81,145,"65, 81, 145"
132,19,32,"132, 19, 32"
129,83,10,"129, 83, 10"
33,240,168,"33, 240, 168"
147,81,3,"147, 81, 3"
247,238,168,"247, 238, 168"
14,211,93,"14, 211, 93"
140,19,102,"140, 19, 102"
103,15,242,"103, 15, 242"
127,198,197,"127, 198, 197"
25,75,112,"25, 75, 112"
161,111,223,"161, 111, 223"
183,243,172,"183, 243, 172"
50,149,44,"50, 149, 44"
156,52,17,"156, 52, 17"
136,16,69,"136, 16, 69"
217,174,130,"217, 174, 130"
28,76,130,"28, 76, 130"
141,130,203,"141, 130, 203"
85,19,90,"85, 19, 90"
29,82,161,"29, 82, 161"
186,156,160,"186, 156, 160"
195,46,83,"195, 46, 83"
35,27,41,"35, 27, 41"
232,26,241,"232, 26, 241"
7,40,87,"7, 40, 87"
88,25,180,"88, 25, 180"
99,219,201,"99, 219, 201"
46,253,138,"46, 253, 138"
189,138,49,"189, 138, 49"
178,237,196,"178, 237, 196"
90,64,142,"90, 64, 142"
119,86,143,"119, 86, 143"
162,218,252,"162, 218, 252"
29,247,250,"29, 247, 250"
248,112,146,"248, 112, 146"
180,183,85,"180, 183, 85"
176,210,29,"176, 210, 29"
92,229,108,"92, 229, 108"
69,27,200,"69, 27, 200"
193,88,204,"193, 88, 204"
210,115,85,"210, 115, 85"
62,88,146,"62, 88, 146"
237,124,194,"237, 124, 194"
168,191,237,"168, 191, 237"
48,203,176,"48, 203, 176"
93,17,153,"93, 17, 153"
26,224,17,"26, 224, 17"
249,59,179,"249, 59, 179"
115,158,206,"115, 158, 206"
214,110,136,"214, 110, 136"
28,70,230,"28, 70, 230"
169,214,112,"169, 214, 112"
147,35,2,"147, 35, 2"
53,100,111,"53, 100, 111"
251,96,25,"251, 96, 25"
141,80,143,"141, 80, 143"
231,217,2,"231, 217, 2"
102,188,5,"102, 188, 5"
18,165,62,"18, 165, 62"
248,235,247,"248, 235, 247"
148,79,139,"148, 79, 139"
229,212,31,"229, 212, 31"
102,242,9,"102, 242, 9"
140,243,112,"140, 243, 112"
137,214,223,"137, 214, 223"
113,138,106,"113, 138, 106"
96,93,19,"96, 93, 19"
82,226,59,"82, 226, 59"
182,168,75,"182, 168, 75"
53,137,149,"53, 137, 149"
6,226,43,"6, 226, 43"
234,168,231,"234, 168, 231"
124,90,48,"124, 90, 48"
158,154,73,"158, 154, 73"
10,50,20,"10, 50, 20"
138,245,49,"138, 245, 49"
171,158,186,"171, 158, 186"
62,211,242,"62, 211, 242"
98,208,89,"98, 208, 89"
194,207,7,"194, 207, 7"
162,212,146,"162, 212, 146"
70,151,66,"70, 151, 66"
208,61,240,"208, 61, 240"
51,14,91,"51, 14, 91"
109,218,102,"109, 218, 102"
162,162,27,"162, 162, 27"
115,123,110,"115, 123, 110"
67,104,10,"67, 104, 10"
93,224,172,"93, 224, 172"
37,95,44,"37, 95, 44"
159,91,173,"159, 91, 173"
183,245,188,"183, 245, 188"
189,94,236,"189, 94, 236"
57,104,93,"57, 104, 93"
211,65,247,"211, 65, 247"
123,163,132,"123, 163, 132"
193,226,176,"193, 226, 176"
158,214,54,"158, 214, 54"
107,79,146,"107, 79, 146"
83,190,238,"83, 190, 238"
20,168,229,"20, 168, 229"
55,1,33,"55, 1, 33"
208,107,209,"208, 107, 209"
222,16,141,"222, 16, 141"
22,233,79,"22, 233, 79"
58,167,119,"58, 167, 119"
52,45,215,"52, 45, 215"
111,190,242,"111, 190, 242"
36,171,57,"36, 171, 57"
228,114,185,"228, 114, 185"
162,106,210,"162, 106, 210"
178,101,73,"178, 101, 73"
175,117,182,"175, 117, 182"
143,160,177,"143, 160, 177"
122,17,228,"122, 17, 228"
225,165,127,"225, 165, 127"
98,234,226,"98, 234, 226"
21,109,136,"21, 109, 136"
106,5,171,"106, 5, 171"
221,72,237,"221, 72, 237"
159,117,79,"159, 117, 79"
222,10,56,"222, 10, 56"
156,97,58,"156, 97, 58"
204,198,146,"204, 198, 146"
38,204,59,"38, 204, 59"
33,45,24,"33, 45, 24"
218,3,247,"218, 3, 247"
88,195,31,"88, 195, 31"
47,30,201,"47, 30, 201"
153,248,144,"153, 248, 144"
99,84,165,"99, 84, 165"
78,69,87,"78, 69, 87"
44,58,235,"44, 58, 235"
199,54,205,"199, 54, 205"
16,125,152,"16, 125, 152"
222,49,200,"222, 49, 200"
9,176,52,"9, 176, 52"
167,99,252,"167, 99, 252"
50,42,166,"50, 42, 166"
26,130,108,"26, 130, 108"
153,70,79,"153, 70, 79"
135,149,194,"135, 149, 194"
101,237,42,"101, 237, 42"
252,102,116,"252, 102, 116"
116,214,15,"116, 214, 15"
218,14,12,"218, 14, 12"
15,199,122,"15, 199, 122"
15,110,150,"15, 110, 150"
58,47,41,"58, 47, 41"
134,210,79,"134, 210, 79"
92,156,77,"92, 156, 77"
163,160,64,"163, 160, 64"
121,158,45,"121, 158, 45"
198,153,59,"198, 153, 59"
66,56,150,"66, 56, 150"
248,139,134,"248, 139, 134"
46,86,174,"46, 86, 174"
120,176,244,"120, 176, 244"
14,109,117,"14, 109, 117"
102,30,160,"102, 30, 160"
13,64,237,"13, 64, 237"
111,53,157,"111, 53, 157"
139,182,172,"139, 182, 172"
30,40,235,"30, 40, 235"
155,75,80,"155, 75, 80"
107,10,174,"107, 10, 174"
162,146,207,"162, 146, 207"
158,19,137,"158, 19, 137"
9,118,226,"9, 118, 226"
255,220,171,"255, 220, 171"
222,180,130,"222, 180, 130"
12,231,105,"12, 231, 105"
152,82,67,"152, 82, 67"
215,208,253,"215, 208, 253"
195,42,136,"195, 42, 136"
142,248,146,"142, 248, 146"
211,58,131,"211, 58, 131"
179,218,77,"179, 218, 77"
141,212,59,"141, 212, 59"
102,5,102,"102, 5, 102"
45,180,249,"45, 180, 249"
183,76,102,"183, 76, 102"
112,251,152,"112, 251, 152"
102,68,111,"102, 68, 111"
228,168,224,"228, 168, 224"
195,92,130,"195, 92, 130"
80,18,93,"80, 18, 93"
233,156,7,"233, 156, 7"
214,56,204,"214, 56, 204"
235,87,172,"235, 87, 172"
67,223,104,"67, 223, 104"
248,167,34,"248, 167, 34"
99,183,147,"99, 183, 147"
129,167,163,"129, 167, 163"
139,73,15,"139, 73, 15"
125,141,100,"125, 141, 100"
255,37,189,"255, 37, 189"
79,34,109,"79, 34, 109"
186,10,197,"186, 10, 197"
91,8,181,"91, 8, 181"
176,152,165,"176, 152, 165"
255,75,114,"255, 75, 114"
101,34,117,"101, 34, 117"
44,119,144,"44, 119, 144"
114,237,127,"114, 237, 127"
196,3,16,"196, 3, 16"
170,34,244,"170, 34, 244"
173,179,210,"173, 179, 210"
83,215,10,"83, 215, 10"
218,163,117,"218, 163, 117"
156,137,167,"156, 137, 167"
140,101,24,"140, 101, 24"
25,107,226,"25, 107, 226"
40,170,220,"40, 170, 220"
55,31,82,"55, 31, 82"
200,40,114,"200, 40, 114"
95,234,57,"95, 234, 57"
51,27,47,"51, 27, 47"
107,87,226,"107, 87, 226"
220,163,193,"220, 163, 193"
53,155,126,"53, 155, 126"
161,30,44,"161, 30, 44"
124,17,180,"124, 17, 180"
55,100,14,"55, 100, 14"
15,97,2,"15, 97, 2"
19,44,36,"19, 44, 36"
149,80,36,"149, 80, 36"
1,202,200,"1, 202, 200"
59,255,156,"59, 255, 156"
113,1,13,"113, 1, 13"
242,56,159,"242, 56, 159"
164,111,238,"164, 111, 238"
198,222,75,"198, 222, 75"
182,237,198,"182, 237, 198"
84,153,55,"84, 153, 55"
161,175,254,"161, 175, 254"
77,186,222,"77, 186, 222"
173,219,77,"173, 219, 77"
211,195,77,"211, 195, 77"
149,192,78,"149, 192, 78"
193,32,163,"193, 32, 163"
166,147,148,"166, 147, 148"
30,47,131,"30, 47, 131"
127,106,102,"127, 106, 102"
160,31,4,"160, 31, 4"
109,81,159,"109, 81, 159"
41,211,139,"41, 211, 139"
30,85,106,"30, 85, 106"
156,156,168,"156, 156, 168"
113,125,132,"113, 125, 132"
6,136,153,"6, 136, 153"
193,181,105,"193, 181, 105"
89,102,2,"89, 102, 2"
95,1,138,"95, 1, 138"
104,158,106,"104, 158, 106"
115,123,194,"115, 123, 194"
48,204,231,"48, 204, 231"
90,56,13,"90, 56, 13"
128,185,66,"128, 185, 66"
126,186,163,"126, 186, 163"
220,87,89,"220, 87, 89"
124,224,184,"124, 224, 184"
106,208,42,"106, 208, 42"
195,107,181,"195, 107, 181"
161,164,243,"161, 164, 243"
128,149,171,"128, 149, 171"
130,129,42,"130, 129, 42"
61,160,60,"61, 160, 60"
181,115,70,"181, 115, 70"
138,66,187,"138, 66, 187"
81,66,95,"81, 66, 95"
168,32,136,"168, 32, 136"
8,38,245,"8, 38, 245"
21,228,36,"21, 228, 36"
203,161,149,"203, 161, 149"
205,81,141,"205, 81, 141"
188,153,93,"188, 153, 93"
29,190,70,"29, 190, 70"
92,182,64,"92, 182, 64"
189,167,140,"189, 167, 140"
206,250,169,"206, 250, 169"
132,110,7,"132, 110, 7"
161,99,193,"161, 99, 193"
236,126,214,"236, 126, 214"
220,89,199,"220, 89, 199"
83,197,25,"83, 197, 25"
20,99,227,"20, 99, 227"
229,18,129,"229, 18, 129"
150,226,186,"150, 226, 186"
139,47,174,"139, 47, 174"
236,226,94,"236, 226, 94"
209,5,49,"209, 5, 49"
161,128,139,"161, 128, 139"
153,84,81,"153, 84, 81"
204,91,90,"204, 91, 90"
86,70,15,"86, 70, 15"
111,164,199,"111, 164, 199"
3,90,51,"3, 90, 51"
109,218,159,"109, 218, 159"
149,11,168,"149, 11, 168"
251,179,23,"251, 179, 23"
179,251,138,"179, 251, 138"
163,72,30,"163, 72, 30"
196,41,35,"196, 41, 35"
45,209,224,"45, 209, 224"
181,78,121,"181, 78, 121"
100,69,91,"100, 69, 91"
109,155,233,"109, 155, 233"
220,52,98,"220, 52, 98"
71,58,31,"71, 58, 31"
171,101,187,"171, 101, 187"
109,166,219,"109, 166, 219"
180,120,110,"180, 120, 110"
236,198,62,"236, 198, 62"
197,238,239,"197, 238, 239"
191,55,156,"191, 55, 156"
93,141,85,"93, 141, 85"
251,213,249,"251, 213, 249"
77,126,84,"77, 126, 84"
37,58,41,"37, 58, 41"
32,114,170,"32, 114, 170"
187,69,231,"187, 69, 231"
17,241,192,"17, 241, 192"
30,60,218,"30, 60, 218"
62,238,60,"62, 238, 60"
189,169,246,"189, 169, 246"
113,148,13,"113, 148, 13"
23,59,24,"23, 59, 24"
141,245,75,"141, 245, 75"
60,44,155,"60, 44, 155"
7,241,103,"7, 241, 103"
245,199,94,"245, 199, 94"
29,141,96,"29, 141, 96"
246,116,140,"246, 116, 140"
186,18,197,"186, 18, 197"
17,231,27,"17, 231, 27"
204,249,248,"204, 249, 248"
142,53,70,"142, 53, 70"
169,250,140,"169, 250, 140"
130,225,16,"130, 225, 16"
248,64,227,"248, 64, 227"
156,2,67,"156, 2, 67"
95,8,84,"95, 8, 84"
53,29,188,"53, 29, 188"
171,195,3,"171, 195, 3"
83,127,255,"83, 127, 255"
126,72,84,"126, 72, 84"
228,22,255,"228, 22, 255"
167,229,32,"167, 229, 32"
100,135,60,"100, 135, 60"
240,185,120,"240, 185, 120"
140,43,221,"140, 43, 221"
93,170,139,"93, 170, 139"
120,102,53,"120, 102, 53"
6,178,211,"6, 178, 211"
31,253,105,"31, 253, 105"
51,80,30,"51, 80, 30"
174,246,70,"174, 246, 70"
114,6,41,"114, 6, 41"
162,182,192,"162, 182, 192"
177,26,69,"177, 26, 69"
186,68,63,"186, 68, 63"
126,195,232,"126, 195, 232"
84,225,100,"84, 225, 100"
234,29,202,"234, 29, 202"
57,80,216,"57, 80, 216"
32,144,234,"32, 144, 234"
213,190,176,"213, 190, 176"
103,8,252,"103, 8, 252"
5,195,196,"5, 195, 196"
165,75,194,"165, 75, 194"
129,72,57,"129, 72, 57"
207,101,150,"207, 101, 150"
226,20,239,"226, 20, 239"
103,197,185,"103, 197, 185"
36,147,146,"36, 147, 146"
159,43,238,"159, 43, 238"
61,78,241,"61, 78, 241"
159,204,43,"159, 204, 43"
213,197,88,"213, 197, 88"
199,28,154,"199, 28, 154"
28,249,140,"28, 249, 140"
141,89,81,"141, 89, 81"
94,233,224,"94, 233, 224"
239,110,45,"239, 110, 45"
208,80,205,"208, 80, 205"
64,166,233,"64, 166, 233"
49,164,97,"49, 164, 97"
136,212,66,"136, 212, 66"
24,134,99,"24, 134, 99"
10,27,156,"10, 27, 156"
116,87,210,"116, 87, 210"
235,181,68,"235, 181, 68"
28,195,9,"28, 195, 9"
66,204,154,"66, 204, 154"
141,56,99,"141, 56, 99"
7,140,76,"7, 140, 76"
128,9,249,"128, 9, 249"
145,187,133,"145, 187, 133"
246,102,46,"246, 102, 46"
217,101,248,"217, 101, 248"
56,17,126,"56, 17, 126"
73,31,116,"73, 31, 116"
73,62,15,"73, 62, 15"
4,2,125,"4, 2, 125"
29,213,104,"29, 213, 104"
150,66,190,"150, 66, 190"
181,234,37,"181, 234, 37"
118,34,129,"118, 34, 129"
180,196,19,"180, 196, 19"
179,30,235,"179, 30, 235"
16,7,35,"16, 7, 35"
238,77,65,"238, 77, 65"
111,19,230,"111, 19, 230"
208,135,35,"208, 135, 35"
34,168,95,"34, 168, 95"
228,181,227,"228, 181, 227"
188,221,227,"188, 221, 227"
102,227,207,"102, 227, 207"
239,95,95,"239, 95, 95"
77,145,117,"77, 145, 117"
65,251,92,"65, 251, 92"
152,186,161,"152, 186, 161"
248,106,116,"248, 106, 116"
223,104,181,"223, 104, 181"
47,171,51,"47, 171, 51"
199,83,44,"199, 83, 44"
197,218,190,"197, 218, 190"
17,25,17,"17, 25, 17"
25,127,156,"25, 127, 156"
146,171,98,"146, 171, 98"
46,189,245,"46, 189, 245"
201,103,221,"201, 103, 221"
195,241,72,"195, 241, 72"
118,214,221,"118, 214, 221"
190,90,87,"190, 90, 87"
13,45,157,"13, 45, 157"
78,81,143,"78, 81, 143"
10,91,15,"10, 91, 15"
58,183,119,"58, 183, 119"
223,87,92,"223, 87, 92"
231,41,116,"231, 41, 116"
39,92,19,"39, 92, 19"
57,12,178,"57, 12, 178"
13,130,121,"13, 130, 121"
41,144,246,"41, 144, 246"
226,227,111,"226, 227, 111"
31,50,128,"31, 50, 128"
57,169,83,"57, 169, 83"
221,128,59,"221, 128, 59"
29,108,98,"29, 108, 98"
70,148,175,"70, 148, 175"
14,88,25,"14, 88, 25"
20,77,207,"20, 77, 207"
86,99,80,"86, 99, 80"
72,197,89,"72, 197, 89"
44,205,163,"44, 205, 163"
223,58,157,"223, 58, 157"
76,125,151,"76, 125, 151"
75,68,114,"75, 68, 114"
114,99,243,"114, 99, 243"
176,93,224,"176, 93, 224"
219,164,253,"219, 164, 253"
42,144,228,"42, 144, 228"
2,176,24,"2, 176, 24"
21,36,114,"21, 36, 114"
117,17,76,"117, 17, 76"
88,172,69,"88, 172, 69"
210,30,95,"210, 30, 95"
226,253,174,"226, 253, 174"
55,223,166,"55, 223, 166"
10,223,115,"10, 223, 115"
141,27,56,"141, 27, 56"
80,207,85,"80, 207, 85"
128,115,52,"128, 115, 52"
55,131,70,"55, 131, 70"
20,135,94,"20, 135, 94"
33,178,93,"33, 178, 93"
190,86,59,"190, 86, 59"
84,6,138,"84, 6, 138"
248,235,114,"248, 235, 114"
255,74,158,"255, 74, 158"
239,63,140,"239, 63, 140"
241,40,76,"241, 40, 76"
247,220,209,"247, 220, 209"
205,155,187,"205, 155, 187"
237,196,236,"237, 196, 236"
77,14,220,"77, 14, 220"
67,64,124,"67, 64, 124"
51,19,205,"51, 19, 205"
160,57,248,"160, 57, 248"
159,55,141,"159, 55, 141"
243,129,177,"243, 129, 177"
229,120,253,"229, 120, 253"
41,20,238,"41, 20, 238"
54,171,11,"54, 171, 11"
85,215,177,"85, 215, 177"
19,166,122,"19, 166, 122"
96,20,136,"96, 20, 136"
69,251,250,"69, 251, 250"
97,201,144,"97, 201, 144"
177,38,132,"177, 38, 132"
99,69,117,"99, 69, 117"
243,240,20,"243, 240, 20"
140,38,162,"140, 38, 162"
144,2,125,"144, 2, 125"
188,6,86,"188, 6, 86"
98,194,73,"98, 194, 73"
157,96,60,"157, 96, 60"
95,215,59,"95, 215, 59"
198,86,40,"198, 86, 40"
184,171,74,"184, 171, 74"
129,104,7,"129, 104, 7"
233,117,65,"233, 117, 65"
190,21,107,"190, 21, 107"
246,11,226,"246, 11, 226"
22,69,8,"22, 69, 8"
91,212,23,"91, 212, 23"
69,23,20,"69, 23, 20"
255,33,205,"255, 33, 205"
16,101,130,"16, 101, 130"
115,204,190,"115, 204, 190"
214,51,217,"214, 51, 217"
229,35,95,"229, 35, 95"
113,188,184,"113, 188, 184"
104,82,168,"104, 82, 168"
147,241,4,"147, 241, 4"
231,54,145,"231, 54, 145"
57,136,112,"57, 136, 112"
241,28,43,"241, 28, 43"
150,62,62,"150, 62, 62"
7,115,237,"7, 115, 237"
224,40,248,"224, 40, 248"
133,41,151,"133, 41, 151"
244,58,21,"244, 58, 21"
148,234,18,"148, 234, 18"
38,47,138,"38, 47, 138"
68,192,172,"68, 192, 172"
47,135,229,"47, 135, 229"
24,145,111,"24, 145, 111"
90,28,189,"90, 28, 189"
152,240,99,"152, 240, 99"
193,6,192,"193, 6, 192"
26,5,210,"26, 5, 210"
141,43,237,"141, 43, 237"
187,171,111,"187, 171, 111"
78,32,175,"78, 32, 175"
167,201,163,"167, 201, 163"
61,209,73,"61, 209, 73"
205,147,6,"205, 147, 6"
65,144,151,"65, 144, 151"
225,22,132,"225, 22, 132"
151,18,90,"151, 18, 90"
229,25,1,"229, 25, 1"
239,172,191,"239, 172, 191"
64,95,229,"64, 95, 229"
241,210,155,"241, 210, 155"
69,139,104,"69, 139, 104"
134,242,113,"134, 242, 113"
65,80,91,"65, 80, 91"
187,116,209,"187, 116, 209"
166,131,209,"166, 131, 209"
197,39,39,"197, 39, 39"
83,14,201,"83, 14, 201"
93,119,113,"93, 119, 113"
152,199,58,"152, 199, 58"
75,129,90,"75, 129, 90"
4,200,109,"4, 200, 109"
211,134,213,"211, 134, 213"
29,228,126,"29, 228, 126"
14,124,97,"14, 124, 97"
32,112,18,"32, 112, 18"
1,158,120,"1, 158, 120"
208,116,104,"208, 116, 104"
160,74,72,"160, 74, 72"
4,64,209,"4, 64, 209"
199,178,24,"199, 178, 24"
52,149,156,"52, 149, 156"
154,208,167,"154, 208, 167"
59,52,27,"59, 52, 27"
239,56,97,"239, 56, 97"
222,163,217,"222, 163, 217"
183,173,235,"183, 173, 235"
212,244,193,"212, 244, 193"
127,5,128,"127, 5, 128"
59,211,92,"59, 211, 92"
126,76,92,"126, 76, 92"
170,183,52,"170, 183, 52"
174,84,216,"174, 84, 216"
148,240,53,"148, 240, 53"
215,114,197,"215, 114, 197"
63,151,72,"63, 151, 72"
148,34,137,"148, 34, 137"
78,231,182,"78, 231, 182"
183,7,43,"183, 7, 43"
151,230,42,"151, 230, 42"
179,124,102,"179, 124, 102"
115,68,164,"115, 68, 164"
112,114,1,"112, 114, 1"
205,249,92,"205, 249, 92"
93,207,101,"93, 207, 101"
58,145,20,"58, 145, 20"
8,47,33,"8, 47, 33"
187,64,215,"187, 64, 215"
192,190,60,"192, 190, 60"
6,160,248,"6, 160, 248"
77,186,214,"77, 186, 214"
241,52,99,"241, 52, 99"
