job_title,department_name,length_of_service,employee_info
Shelf Stocker,Processed Foods,20,"Shelf Stocker,Processed Foods,20"
"Exec Assistant, Human Resources",HR Technology,26,"Exec Assistant, Human Resources,HR Technology,26"
Accounts Payable Clerk,Dairy,23,"Accounts Payable Clerk,Dairy,23"
VP Human Resources,Executive,26,"VP Human Resources,Executive,26"
Labor Relations Analyst,Customer Service,24,"Labor Relations Analyst,Customer Service,24"
"Exec Assistant, VP Stores",Accounts Receiveable,26,"Exec Assistant, VP Stores,Accounts Receiveable,26"
Produce Manager,Employee Records,25,"Produce Manager,Employee Records,25"
"Exec Assistant, Legal Counsel",Executive,24,"Exec Assistant, Legal Counsel,Executive,24"
Investment Analyst,Processed Foods,23,"Investment Analyst,Processed Foods,23"
"Exec Assistant, Finance",Executive,25,"Exec Assistant, Finance,Executive,25"
Produce Manager,Dairy,26,"Produce Manager,Dairy,26"
"Exec Assistant, VP Stores",Executive,26,"Exec Assistant, VP Stores,Executive,26"
Meat Cutter,Employee Records,17,"Meat Cutter,Employee Records,17"
"Director, Accounting",Executive,26,"Director, Accounting,Executive,26"
"Exec Assistant, Legal Counsel",Produce,22,"Exec Assistant, Legal Counsel,Produce,22"
"Exec Assistant, Legal Counsel",Executive,25,"Exec Assistant, Legal Counsel,Executive,25"
"Director, Employee Records",Executive,19,"Director, Employee Records,Executive,19"
"Director, HR Technology",Bakery,24,"Director, HR Technology,Bakery,24"
Bakery Manager,Meats,25,"Bakery Manager,Meats,25"
Produce Manager,Bakery,14,"Produce Manager,Bakery,14"
Shelf Stocker,Investment,17,"Shelf Stocker,Investment,17"
Cashier,Customer Service,26,"Cashier,Customer Service,26"
Meat Cutter,Meats,23,"Meat Cutter,Meats,23"
Accounting Clerk,Dairy,14,"Accounting Clerk,Dairy,14"
VP Human Resources,Executive,24,"VP Human Resources,Executive,24"
Corporate Lawyer,Accounts Payable,17,"Corporate Lawyer,Accounts Payable,17"
CHief Information Officer,Legal,26,"CHief Information Officer,Legal,26"
Produce Manager,Meats,26,"Produce Manager,Meats,26"
Store Manager,Executive,23,"Store Manager,Executive,23"
VP Human Resources,Produce,23,"VP Human Resources,Produce,23"
CHief Information Officer,Executive,24,"CHief Information Officer,Executive,24"
Trainer,Bakery,25,"Trainer,Bakery,25"
Accounts Receiveable Clerk,Dairy,8,"Accounts Receiveable Clerk,Dairy,8"
Store Manager,Executive,25,"Store Manager,Executive,25"
Shelf Stocker,Processed Foods,6,"Shelf Stocker,Processed Foods,6"
"Director, Employee Records",Executive,23,"Director, Employee Records,Executive,23"
VP Stores,Executive,24,"VP Stores,Executive,24"
"Exec Assistant, VP Stores",Executive,24,"Exec Assistant, VP Stores,Executive,24"
"Exec Assistant, VP Stores",Executive,25,"Exec Assistant, VP Stores,Executive,25"
Accounts Payable Clerk,Processed Foods,7,"Accounts Payable Clerk,Processed Foods,7"
Meats Manager,Executive,14,"Meats Manager,Executive,14"
"Exec Assistant, VP Stores",Employee Records,25,"Exec Assistant, VP Stores,Employee Records,25"
Accounts Payable Clerk,Customer Service,9,"Accounts Payable Clerk,Customer Service,9"
Bakery Manager,Produce,23,"Bakery Manager,Produce,23"
Trainer,HR Technology,19,"Trainer,HR Technology,19"
Meat Cutter,Information Technology,11,"Meat Cutter,Information Technology,11"
HRIS Analyst,Employee Records,15,"HRIS Analyst,Employee Records,15"
Produce Clerk,Accounts Payable,18,"Produce Clerk,Accounts Payable,18"
"Director, Labor Relations",Produce,24,"Director, Labor Relations,Produce,24"
Accounts Payable Clerk,Produce,11,"Accounts Payable Clerk,Produce,11"
"Director, Recruitment",Executive,25,"Director, Recruitment,Executive,25"
Meats Manager,Recruitment,17,"Meats Manager,Recruitment,17"
"Director, Employee Records",Meats,23,"Director, Employee Records,Meats,23"
VP Human Resources,Executive,26,"VP Human Resources,Executive,26"
Cashier,Customer Service,5,"Cashier,Customer Service,5"
Meat Cutter,Meats,23,"Meat Cutter,Meats,23"
Auditor,Recruitment,19,"Auditor,Recruitment,19"
Recruiter,Processed Foods,10,"Recruiter,Processed Foods,10"
CEO,Executive,26,"CEO,Executive,26"
Auditor,Customer Service,25,"Auditor,Customer Service,25"
Accounting Clerk,Investment,17,"Accounting Clerk,Investment,17"
Store Manager,Executive,24,"Store Manager,Executive,24"
"Director, Employee Records",Produce,21,"Director, Employee Records,Produce,21"
Meat Cutter,Accounting,22,"Meat Cutter,Accounting,22"
"Director, HR Technology",HR Technology,22,"Director, HR Technology,HR Technology,22"
Benefits Admin,Compensation,19,"Benefits Admin,Compensation,19"
Accounting Clerk,Processed Foods,13,"Accounting Clerk,Processed Foods,13"
VP Stores,Executive,26,"VP Stores,Executive,26"
"Exec Assistant, Legal Counsel",Meats,25,"Exec Assistant, Legal Counsel,Meats,25"
Shelf Stocker,Customer Service,16,"Shelf Stocker,Customer Service,16"
Dairy Person,Investment,16,"Dairy Person,Investment,16"
Meat Cutter,Executive,19,"Meat Cutter,Executive,19"
VP Human Resources,Executive,21,"VP Human Resources,Executive,21"
Produce Clerk,Accounts Receiveable,24,"Produce Clerk,Accounts Receiveable,24"
Cashier,Processed Foods,23,"Cashier,Processed Foods,23"
CHief Information Officer,Executive,23,"CHief Information Officer,Executive,23"
"Director, Accounts Receivable",Accounting,25,"Director, Accounts Receivable,Accounting,25"
Investment Analyst,Processed Foods,8,"Investment Analyst,Processed Foods,8"
Meats Manager,Produce,26,"Meats Manager,Produce,26"
CHief Information Officer,Meats,22,"CHief Information Officer,Meats,22"
"Exec Assistant, VP Stores",Executive,26,"Exec Assistant, VP Stores,Executive,26"
Shelf Stocker,Processed Foods,14,"Shelf Stocker,Processed Foods,14"
"Director, Accounts Receivable",Produce,19,"Director, Accounts Receivable,Produce,19"
VP Human Resources,Executive,23,"VP Human Resources,Executive,23"
Cashier,Investment,13,"Cashier,Investment,13"
Meats Manager,Executive,26,"Meats Manager,Executive,26"
Processed Foods Manager,Meats,19,"Processed Foods Manager,Meats,19"
Meat Cutter,Accounts Payable,14,"Meat Cutter,Accounts Payable,14"
Processed Foods Manager,Dairy,25,"Processed Foods Manager,Dairy,25"
Produce Clerk,Bakery,13,"Produce Clerk,Bakery,13"
HRIS Analyst,HR Technology,23,"HRIS Analyst,HR Technology,23"
Trainer,Produce,23,"Trainer,Produce,23"
Recruiter,Investment,22,"Recruiter,Investment,22"
Customer Service Manager,Processed Foods,21,"Customer Service Manager,Processed Foods,21"
Systems Analyst,Audit,26,"Systems Analyst,Audit,26"
Produce Clerk,Customer Service,22,"Produce Clerk,Customer Service,22"
Recruiter,Investment,20,"Recruiter,Investment,20"
"Exec Assistant, Legal Counsel",Meats,25,"Exec Assistant, Legal Counsel,Meats,25"
Recruiter,Dairy,23,"Recruiter,Dairy,23"
Corporate Lawyer,Recruitment,26,"Corporate Lawyer,Recruitment,26"
Cashier,Processed Foods,23,"Cashier,Processed Foods,23"
Bakery Manager,Store Management,20,"Bakery Manager,Store Management,20"
Cashier,Customer Service,9,"Cashier,Customer Service,9"
Store Manager,Recruitment,19,"Store Manager,Recruitment,19"
Store Manager,Meats,21,"Store Manager,Meats,21"
Corporate Lawyer,Produce,16,"Corporate Lawyer,Produce,16"
CEO,Executive,11,"CEO,Executive,11"
Meat Cutter,Executive,25,"Meat Cutter,Executive,25"
"Exec Assistant, VP Stores",Bakery,20,"Exec Assistant, VP Stores,Bakery,20"
Produce Clerk,Dairy,20,"Produce Clerk,Dairy,20"
"Exec Assistant, VP Stores",Meats,11,"Exec Assistant, VP Stores,Meats,11"
Baker,Processed Foods,15,"Baker,Processed Foods,15"
Cashier,Processed Foods,11,"Cashier,Processed Foods,11"
VP Human Resources,Executive,26,"VP Human Resources,Executive,26"
Dairy Person,Accounts Payable,11,"Dairy Person,Accounts Payable,11"
Labor Relations Analyst,Dairy,24,"Labor Relations Analyst,Dairy,24"
CEO,Executive,26,"CEO,Executive,26"
CHief Information Officer,Executive,22,"CHief Information Officer,Executive,22"
Meat Cutter,Produce,24,"Meat Cutter,Produce,24"
Baker,Customer Service,18,"Baker,Customer Service,18"
Customer Service Manager,Compensation,14,"Customer Service Manager,Compensation,14"
"Exec Assistant, Legal Counsel",Meats,22,"Exec Assistant, Legal Counsel,Meats,22"
CHief Information Officer,Meats,23,"CHief Information Officer,Meats,23"
Trainer,Store Management,13,"Trainer,Store Management,13"
Bakery Manager,Bakery,25,"Bakery Manager,Bakery,25"
Meats Manager,Executive,23,"Meats Manager,Executive,23"
Produce Manager,Employee Records,14,"Produce Manager,Employee Records,14"
"Director, Accounting",Produce,25,"Director, Accounting,Produce,25"
Accounts Payable Clerk,Produce,22,"Accounts Payable Clerk,Produce,22"
Shelf Stocker,Customer Service,19,"Shelf Stocker,Customer Service,19"
Produce Clerk,HR Technology,25,"Produce Clerk,HR Technology,25"
Processed Foods Manager,Executive,19,"Processed Foods Manager,Executive,19"
Meat Cutter,Processed Foods,21,"Meat Cutter,Processed Foods,21"
Processed Foods Manager,Accounting,15,"Processed Foods Manager,Accounting,15"
Store Manager,Executive,24,"Store Manager,Executive,24"
"Exec Assistant, Legal Counsel",Legal,20,"Exec Assistant, Legal Counsel,Legal,20"
"Exec Assistant, Finance",Bakery,25,"Exec Assistant, Finance,Bakery,25"
Baker,Bakery,19,"Baker,Bakery,19"
VP Stores,Executive,26,"VP Stores,Executive,26"
"Director, Recruitment",Produce,26,"Director, Recruitment,Produce,26"
Baker,Bakery,21,"Baker,Bakery,21"
VP Human Resources,Meats,24,"VP Human Resources,Meats,24"
Baker,Bakery,22,"Baker,Bakery,22"
Meat Cutter,Meats,21,"Meat Cutter,Meats,21"
"Director, Accounts Payable",Employee Records,25,"Director, Accounts Payable,Employee Records,25"
Trainer,Executive,24,"Trainer,Executive,24"
"Director, Employee Records",Meats,22,"Director, Employee Records,Meats,22"
Corporate Lawyer,Executive,22,"Corporate Lawyer,Executive,22"
Dairy Manager,Legal,20,"Dairy Manager,Legal,20"
Meats Manager,Executive,25,"Meats Manager,Executive,25"
Baker,Processed Foods,14,"Baker,Processed Foods,14"
"Director, Accounts Receivable",Bakery,24,"Director, Accounts Receivable,Bakery,24"
"Director, Recruitment",Training,25,"Director, Recruitment,Training,25"
VP Finance,Executive,20,"VP Finance,Executive,20"
Customer Service Manager,HR Technology,25,"Customer Service Manager,HR Technology,25"
VP Finance,Bakery,23,"VP Finance,Bakery,23"
HRIS Analyst,Bakery,23,"HRIS Analyst,Bakery,23"
"Director, Accounting",Bakery,26,"Director, Accounting,Bakery,26"
Investment Analyst,Customer Service,23,"Investment Analyst,Customer Service,23"
Produce Clerk,Accounts Payable,18,"Produce Clerk,Accounts Payable,18"
"Exec Assistant, Finance",Meats,26,"Exec Assistant, Finance,Meats,26"
"Director, Compensation",Meats,22,"Director, Compensation,Meats,22"
Corporate Lawyer,Executive,14,"Corporate Lawyer,Executive,14"
Customer Service Manager,Employee Records,24,"Customer Service Manager,Employee Records,24"
Recruiter,Produce,19,"Recruiter,Produce,19"
VP Human Resources,Executive,23,"VP Human Resources,Executive,23"
HRIS Analyst,Investment,12,"HRIS Analyst,Investment,12"
Shelf Stocker,Produce,21,"Shelf Stocker,Produce,21"
Labor Relations Analyst,Store Management,18,"Labor Relations Analyst,Store Management,18"
"Exec Assistant, Human Resources",Executive,16,"Exec Assistant, Human Resources,Executive,16"
Bakery Manager,Customer Service,25,"Bakery Manager,Customer Service,25"
Bakery Manager,Produce,23,"Bakery Manager,Produce,23"
Corporate Lawyer,Produce,23,"Corporate Lawyer,Produce,23"
Produce Manager,Produce,22,"Produce Manager,Produce,22"
Produce Clerk,Accounts Receiveable,8,"Produce Clerk,Accounts Receiveable,8"
"Exec Assistant, Legal Counsel",Meats,24,"Exec Assistant, Legal Counsel,Meats,24"
Bakery Manager,Bakery,19,"Bakery Manager,Bakery,19"
Labor Relations Analyst,Produce,25,"Labor Relations Analyst,Produce,25"
Dairy Person,Executive,26,"Dairy Person,Executive,26"
"Exec Assistant, Human Resources",Bakery,25,"Exec Assistant, Human Resources,Bakery,25"
CEO,Meats,26,"CEO,Meats,26"
Benefits Admin,Bakery,13,"Benefits Admin,Bakery,13"
"Director, Accounts Payable",Processed Foods,22,"Director, Accounts Payable,Processed Foods,22"
VP Finance,Bakery,26,"VP Finance,Bakery,26"
Processed Foods Manager,Processed Foods,10,"Processed Foods Manager,Processed Foods,10"
Cashier,Audit,20,"Cashier,Audit,20"
Customer Service Manager,Dairy,20,"Customer Service Manager,Dairy,20"
Processed Foods Manager,Produce,18,"Processed Foods Manager,Produce,18"
Bakery Manager,Accounting,24,"Bakery Manager,Accounting,24"
"Director, Audit",Accounts Payable,24,"Director, Audit,Accounts Payable,24"
Customer Service Manager,Processed Foods,12,"Customer Service Manager,Processed Foods,12"
Legal Counsel,Store Management,18,"Legal Counsel,Store Management,18"
HRIS Analyst,HR Technology,17,"HRIS Analyst,HR Technology,17"
Produce Clerk,Audit,12,"Produce Clerk,Audit,12"
Produce Manager,Labor Relations,24,"Produce Manager,Labor Relations,24"
Processed Foods Manager,Produce,20,"Processed Foods Manager,Produce,20"
Processed Foods Manager,Executive,22,"Processed Foods Manager,Executive,22"
Dairy Person,HR Technology,16,"Dairy Person,HR Technology,16"
"Director, Accounts Receivable",Executive,25,"Director, Accounts Receivable,Executive,25"
Shelf Stocker,Dairy,19,"Shelf Stocker,Dairy,19"
VP Finance,Executive,26,"VP Finance,Executive,26"
Accounting Clerk,Training,22,"Accounting Clerk,Training,22"
Cashier,Customer Service,17,"Cashier,Customer Service,17"
"Exec Assistant, Finance",Training,25,"Exec Assistant, Finance,Training,25"
"Director, Employee Records",Recruitment,8,"Director, Employee Records,Recruitment,8"
Dairy Manager,Bakery,14,"Dairy Manager,Bakery,14"
Accounts Payable Clerk,Accounting,20,"Accounts Payable Clerk,Accounting,20"
Baker,Bakery,15,"Baker,Bakery,15"
Labor Relations Analyst,Accounting,18,"Labor Relations Analyst,Accounting,18"
VP Finance,Executive,17,"VP Finance,Executive,17"
Trainer,Accounts Payable,21,"Trainer,Accounts Payable,21"
Dairy Manager,Accounting,24,"Dairy Manager,Accounting,24"
HRIS Analyst,Meats,25,"HRIS Analyst,Meats,25"
Processed Foods Manager,Bakery,22,"Processed Foods Manager,Bakery,22"
VP Human Resources,Produce,21,"VP Human Resources,Produce,21"
Processed Foods Manager,Employee Records,18,"Processed Foods Manager,Employee Records,18"
Dairy Person,Recruitment,22,"Dairy Person,Recruitment,22"
Benefits Admin,Accounting,23,"Benefits Admin,Accounting,23"
Baker,Store Management,14,"Baker,Store Management,14"
"Exec Assistant, VP Stores",Store Management,23,"Exec Assistant, VP Stores,Store Management,23"
Investment Analyst,Bakery,23,"Investment Analyst,Bakery,23"
CHief Information Officer,Accounts Payable,24,"CHief Information Officer,Accounts Payable,24"
Customer Service Manager,Executive,19,"Customer Service Manager,Executive,19"
HRIS Analyst,Employee Records,18,"HRIS Analyst,Employee Records,18"
Accounts Payable Clerk,Processed Foods,25,"Accounts Payable Clerk,Processed Foods,25"
Compensation Analyst,Bakery,20,"Compensation Analyst,Bakery,20"
Cashier,Customer Service,11,"Cashier,Customer Service,11"
Corporate Lawyer,Produce,24,"Corporate Lawyer,Produce,24"
Benefits Admin,Accounts Receiveable,20,"Benefits Admin,Accounts Receiveable,20"
Dairy Person,Employee Records,26,"Dairy Person,Employee Records,26"
Baker,Meats,17,"Baker,Meats,17"
"Exec Assistant, Human Resources",Meats,14,"Exec Assistant, Human Resources,Meats,14"
Meat Cutter,Bakery,17,"Meat Cutter,Bakery,17"
"Director, Accounts Receivable",Training,24,"Director, Accounts Receivable,Training,24"
Produce Manager,Produce,24,"Produce Manager,Produce,24"
Processed Foods Manager,Recruitment,26,"Processed Foods Manager,Recruitment,26"
Shelf Stocker,Customer Service,20,"Shelf Stocker,Customer Service,20"
Dairy Person,Training,23,"Dairy Person,Training,23"
Dairy Person,Investment,26,"Dairy Person,Investment,26"
"Director, HR Technology",Executive,23,"Director, HR Technology,Executive,23"
"Director, Accounts Receivable",HR Technology,19,"Director, Accounts Receivable,HR Technology,19"
"Director, Recruitment",Executive,23,"Director, Recruitment,Executive,23"
"Exec Assistant, VP Stores",Labor Relations,25,"Exec Assistant, VP Stores,Labor Relations,25"
Meat Cutter,Accounts Receiveable,20,"Meat Cutter,Accounts Receiveable,20"
Corporate Lawyer,Accounts Payable,26,"Corporate Lawyer,Accounts Payable,26"
Customer Service Manager,Accounts Receiveable,20,"Customer Service Manager,Accounts Receiveable,20"
Shelf Stocker,Bakery,25,"Shelf Stocker,Bakery,25"
Accounts Payable Clerk,Bakery,13,"Accounts Payable Clerk,Bakery,13"
Shelf Stocker,Customer Service,1,"Shelf Stocker,Customer Service,1"
Recruiter,Accounts Receiveable,19,"Recruiter,Accounts Receiveable,19"
Meats Manager,Produce,5,"Meats Manager,Produce,5"
Investment Analyst,Employee Records,23,"Investment Analyst,Employee Records,23"
Accounts Receiveable Clerk,Customer Service,12,"Accounts Receiveable Clerk,Customer Service,12"
Bakery Manager,Executive,20,"Bakery Manager,Executive,20"
Meat Cutter,Bakery,21,"Meat Cutter,Bakery,21"
"Director, Recruitment",Accounts Payable,21,"Director, Recruitment,Accounts Payable,21"
Cashier,Customer Service,3,"Cashier,Customer Service,3"
CEO,Executive,23,"CEO,Executive,23"
Customer Service Manager,Dairy,19,"Customer Service Manager,Dairy,19"
Legal Counsel,Meats,25,"Legal Counsel,Meats,25"
Labor Relations Analyst,Audit,15,"Labor Relations Analyst,Audit,15"
"Director, Training",Compensation,24,"Director, Training,Compensation,24"
Accounting Clerk,Processed Foods,12,"Accounting Clerk,Processed Foods,12"
VP Human Resources,Meats,25,"VP Human Resources,Meats,25"
CHief Information Officer,Executive,20,"CHief Information Officer,Executive,20"
VP Human Resources,Training,21,"VP Human Resources,Training,21"
Dairy Person,Processed Foods,25,"Dairy Person,Processed Foods,25"
Legal Counsel,Meats,25,"Legal Counsel,Meats,25"
Produce Clerk,Customer Service,24,"Produce Clerk,Customer Service,24"
Dairy Manager,Bakery,20,"Dairy Manager,Bakery,20"
Bakery Manager,Employee Records,26,"Bakery Manager,Employee Records,26"
"Director, Accounts Receivable",Accounts Receiveable,22,"Director, Accounts Receivable,Accounts Receiveable,22"
Bakery Manager,Bakery,21,"Bakery Manager,Bakery,21"
"Director, Accounts Receivable",Accounting,25,"Director, Accounts Receivable,Accounting,25"
Store Manager,Executive,23,"Store Manager,Executive,23"
Dairy Person,Produce,19,"Dairy Person,Produce,19"
Compensation Analyst,Accounts Payable,18,"Compensation Analyst,Accounts Payable,18"
Processed Foods Manager,Executive,22,"Processed Foods Manager,Executive,22"
Customer Service Manager,HR Technology,21,"Customer Service Manager,HR Technology,21"
"Exec Assistant, VP Stores",Training,24,"Exec Assistant, VP Stores,Training,24"
Produce Clerk,Customer Service,17,"Produce Clerk,Customer Service,17"
"Director, HR Technology",Compensation,26,"Director, HR Technology,Compensation,26"
Meat Cutter,Bakery,25,"Meat Cutter,Bakery,25"
"Exec Assistant, Finance",HR Technology,25,"Exec Assistant, Finance,HR Technology,25"
VP Human Resources,Accounts Payable,18,"VP Human Resources,Accounts Payable,18"
Bakery Manager,Dairy,19,"Bakery Manager,Dairy,19"
Dairy Manager,Employee Records,24,"Dairy Manager,Employee Records,24"
Shelf Stocker,Processed Foods,22,"Shelf Stocker,Processed Foods,22"
CHief Information Officer,Executive,25,"CHief Information Officer,Executive,25"
Accounts Payable Clerk,Meats,14,"Accounts Payable Clerk,Meats,14"
Meat Cutter,HR Technology,24,"Meat Cutter,HR Technology,24"
"Director, Employee Records",Produce,25,"Director, Employee Records,Produce,25"
Accounts Receiveable Clerk,Produce,21,"Accounts Receiveable Clerk,Produce,21"
Cashier,Processed Foods,20,"Cashier,Processed Foods,20"
"Director, Recruitment",Executive,26,"Director, Recruitment,Executive,26"
Produce Manager,Training,23,"Produce Manager,Training,23"
Corporate Lawyer,Recruitment,26,"Corporate Lawyer,Recruitment,26"
Auditor,Customer Service,19,"Auditor,Customer Service,19"
Produce Clerk,Processed Foods,14,"Produce Clerk,Processed Foods,14"
Meat Cutter,Produce,22,"Meat Cutter,Produce,22"
Cashier,Dairy,15,"Cashier,Dairy,15"
HRIS Analyst,Accounts Payable,20,"HRIS Analyst,Accounts Payable,20"
Produce Clerk,Produce,24,"Produce Clerk,Produce,24"
Produce Clerk,Customer Service,11,"Produce Clerk,Customer Service,11"
Auditor,Dairy,16,"Auditor,Dairy,16"
Produce Manager,Meats,24,"Produce Manager,Meats,24"
Bakery Manager,Produce,23,"Bakery Manager,Produce,23"
"Director, HR Technology",Recruitment,19,"Director, HR Technology,Recruitment,19"
Investment Analyst,Recruitment,25,"Investment Analyst,Recruitment,25"
Meats Manager,Executive,23,"Meats Manager,Executive,23"
Accounts Payable Clerk,Dairy,12,"Accounts Payable Clerk,Dairy,12"
Processed Foods Manager,Investment,19,"Processed Foods Manager,Investment,19"
Customer Service Manager,Employee Records,18,"Customer Service Manager,Employee Records,18"
"Director, Accounting",Compensation,23,"Director, Accounting,Compensation,23"
Accounting Clerk,Processed Foods,24,"Accounting Clerk,Processed Foods,24"
Recruiter,Dairy,17,"Recruiter,Dairy,17"
Customer Service Manager,Meats,10,"Customer Service Manager,Meats,10"
Cashier,Customer Service,10,"Cashier,Customer Service,10"
Store Manager,Legal,25,"Store Manager,Legal,25"
Shelf Stocker,Accounting,6,"Shelf Stocker,Accounting,6"
"Exec Assistant, Finance",Executive,23,"Exec Assistant, Finance,Executive,23"
Store Manager,Employee Records,20,"Store Manager,Employee Records,20"
CEO,Executive,24,"CEO,Executive,24"
Benefits Admin,Accounts Payable,26,"Benefits Admin,Accounts Payable,26"
Accounts Payable Clerk,Bakery,12,"Accounts Payable Clerk,Bakery,12"
"Director, Recruitment",Labor Relations,11,"Director, Recruitment,Labor Relations,11"
"Exec Assistant, Legal Counsel",Executive,22,"Exec Assistant, Legal Counsel,Executive,22"
Bakery Manager,Produce,23,"Bakery Manager,Produce,23"
Produce Manager,Audit,15,"Produce Manager,Audit,15"
Auditor,Bakery,13,"Auditor,Bakery,13"
HRIS Analyst,Processed Foods,11,"HRIS Analyst,Processed Foods,11"
Dairy Person,Accounts Receiveable,18,"Dairy Person,Accounts Receiveable,18"
Meat Cutter,Dairy,24,"Meat Cutter,Dairy,24"
Produce Clerk,Audit,19,"Produce Clerk,Audit,19"
"Exec Assistant, Legal Counsel",Executive,25,"Exec Assistant, Legal Counsel,Executive,25"
Corporate Lawyer,Produce,16,"Corporate Lawyer,Produce,16"
Trainer,Dairy,11,"Trainer,Dairy,11"
Shelf Stocker,Processed Foods,14,"Shelf Stocker,Processed Foods,14"
"Director, Recruitment",HR Technology,20,"Director, Recruitment,HR Technology,20"
Shelf Stocker,Processed Foods,16,"Shelf Stocker,Processed Foods,16"
Produce Manager,Executive,24,"Produce Manager,Executive,24"
Compensation Analyst,Customer Service,14,"Compensation Analyst,Customer Service,14"
Bakery Manager,HR Technology,20,"Bakery Manager,HR Technology,20"
"Director, Accounts Payable",Executive,19,"Director, Accounts Payable,Executive,19"
Shelf Stocker,Dairy,18,"Shelf Stocker,Dairy,18"
Processed Foods Manager,Accounts Receiveable,25,"Processed Foods Manager,Accounts Receiveable,25"
"Exec Assistant, VP Stores",Executive,21,"Exec Assistant, VP Stores,Executive,21"
Produce Manager,Dairy,14,"Produce Manager,Dairy,14"
Produce Clerk,Processed Foods,24,"Produce Clerk,Processed Foods,24"
CEO,Executive,26,"CEO,Executive,26"
Processed Foods Manager,Executive,16,"Processed Foods Manager,Executive,16"
Legal Counsel,Executive,22,"Legal Counsel,Executive,22"
"Director, Accounts Payable",Meats,13,"Director, Accounts Payable,Meats,13"
Cashier,Bakery,10,"Cashier,Bakery,10"
Store Manager,Accounts Payable,16,"Store Manager,Accounts Payable,16"
Store Manager,Compensation,17,"Store Manager,Compensation,17"
Meat Cutter,Meats,21,"Meat Cutter,Meats,21"
HRIS Analyst,Processed Foods,23,"HRIS Analyst,Processed Foods,23"
Baker,Processed Foods,22,"Baker,Processed Foods,22"
Baker,Accounting,13,"Baker,Accounting,13"
Produce Clerk,Audit,24,"Produce Clerk,Audit,24"
Dairy Person,Investment,22,"Dairy Person,Investment,22"
Corporate Lawyer,Meats,14,"Corporate Lawyer,Meats,14"
Accounts Receiveable Clerk,HR Technology,22,"Accounts Receiveable Clerk,HR Technology,22"
Legal Counsel,Legal,24,"Legal Counsel,Legal,24"
Recruiter,HR Technology,24,"Recruiter,HR Technology,24"
"Exec Assistant, VP Stores",Executive,23,"Exec Assistant, VP Stores,Executive,23"
Labor Relations Analyst,Processed Foods,13,"Labor Relations Analyst,Processed Foods,13"
Meat Cutter,Labor Relations,22,"Meat Cutter,Labor Relations,22"
Baker,Accounts Receiveable,19,"Baker,Accounts Receiveable,19"
Produce Clerk,Customer Service,22,"Produce Clerk,Customer Service,22"
Legal Counsel,Executive,25,"Legal Counsel,Executive,25"
Store Manager,Executive,25,"Store Manager,Executive,25"
Accounts Receiveable Clerk,Executive,16,"Accounts Receiveable Clerk,Executive,16"
"Director, Employee Records",Produce,22,"Director, Employee Records,Produce,22"
"Director, Accounts Payable",Produce,18,"Director, Accounts Payable,Produce,18"
"Exec Assistant, Finance",HR Technology,26,"Exec Assistant, Finance,HR Technology,26"
Accounts Receiveable Clerk,Produce,15,"Accounts Receiveable Clerk,Produce,15"
"Exec Assistant, VP Stores",Executive,26,"Exec Assistant, VP Stores,Executive,26"
Baker,Audit,24,"Baker,Audit,24"
Dairy Person,Meats,26,"Dairy Person,Meats,26"
Auditor,Dairy,17,"Auditor,Dairy,17"
"Director, Employee Records",Executive,23,"Director, Employee Records,Executive,23"
HRIS Analyst,HR Technology,22,"HRIS Analyst,HR Technology,22"
Shelf Stocker,Processed Foods,9,"Shelf Stocker,Processed Foods,9"
Shelf Stocker,Processed Foods,14,"Shelf Stocker,Processed Foods,14"
"Director, Accounting",Bakery,25,"Director, Accounting,Bakery,25"
"Exec Assistant, Human Resources",Executive,18,"Exec Assistant, Human Resources,Executive,18"
Produce Clerk,Audit,19,"Produce Clerk,Audit,19"
CHief Information Officer,Executive,22,"CHief Information Officer,Executive,22"
Accounts Receiveable Clerk,Produce,7,"Accounts Receiveable Clerk,Produce,7"
Meat Cutter,Labor Relations,26,"Meat Cutter,Labor Relations,26"
VP Stores,Executive,20,"VP Stores,Executive,20"
Recruiter,Meats,23,"Recruiter,Meats,23"
VP Finance,Executive,25,"VP Finance,Executive,25"
Trainer,Processed Foods,16,"Trainer,Processed Foods,16"
Labor Relations Analyst,Customer Service,24,"Labor Relations Analyst,Customer Service,24"
Meat Cutter,Customer Service,8,"Meat Cutter,Customer Service,8"
Customer Service Manager,Processed Foods,16,"Customer Service Manager,Processed Foods,16"
Dairy Person,Accounts Payable,20,"Dairy Person,Accounts Payable,20"
Accounts Payable Clerk,Recruitment,20,"Accounts Payable Clerk,Recruitment,20"
Processed Foods Manager,Meats,22,"Processed Foods Manager,Meats,22"
Produce Clerk,Processed Foods,21,"Produce Clerk,Processed Foods,21"
Cashier,Customer Service,23,"Cashier,Customer Service,23"
CEO,Executive,26,"CEO,Executive,26"
"Director, Training",Executive,25,"Director, Training,Executive,25"
Cashier,Processed Foods,9,"Cashier,Processed Foods,9"
Meats Manager,Produce,18,"Meats Manager,Produce,18"
Accounting Clerk,Processed Foods,24,"Accounting Clerk,Processed Foods,24"
Customer Service Manager,HR Technology,26,"Customer Service Manager,HR Technology,26"
Cashier,Customer Service,18,"Cashier,Customer Service,18"
Processed Foods Manager,Bakery,8,"Processed Foods Manager,Bakery,8"
Cashier,Customer Service,24,"Cashier,Customer Service,24"
CHief Information Officer,Meats,26,"CHief Information Officer,Meats,26"
Store Manager,Training,24,"Store Manager,Training,24"
