transaction_amount,merchant_name,date,transaction_details
2236.01,"Bauer, Anthony and Graham",2023-05-22,"2236.01,Bauer, Anthony and Graham,2023-05-22"
80.61,Harding-Robinson,2023-01-04,"80.61,Harding-Robinson,2023-01-04"
79.08,Walton LLC,2023-09-11,"79.08,Walton LLC,2023-09-11"
256.91,Fields-Edwards,2023-04-24,"256.91,Fields-Edwards,2023-04-24"
19.24,Edwards and Sons,2023-01-04,"19.24,Edwards and Sons,2023-01-04"
20.69,"Brennan, Hunter and Hamilton",2023-06-16,"20.69,Brennan, Hunter and Hamilton,2023-06-16"
47.31,Clark and Sons,2023-09-09,"47.31,Clark and Sons,2023-09-09"
15.14,Madden-Garcia,2023-01-16,"15.14,Madden-Garcia,2023-01-16"
632.31,"Williamson, Clark and Kim",2023-07-03,"632.31,Williamson, Clark and Kim,2023-07-03"
199.48,Wright Group,2023-01-25,"199.48,Wright Group,2023-01-25"
234.32,Jarvis-Atkins,2023-03-24,"234.32,Jarvis-Atkins,2023-03-24"
148.75,"Romero, Haney and Baker",2023-01-16,"148.75,Romero, Haney and Baker,2023-01-16"
630.45,"Campbell, Mendez and Gomez",2023-08-16,"630.45,Campbell, Mendez and Gomez,2023-08-16"
112.17,"Clark, Smith and Crawford",2023-05-26,"112.17,Clark, Smith and Crawford,2023-05-26"
55.99,"Ward, Powers and White",2023-09-27,"55.99,Ward, Powers and White,2023-09-27"
861.99,"Brown, Hood and Perez",2023-05-25,"861.99,Brown, Hood and Perez,2023-05-25"
1549.47,Medina-Nguyen,2023-08-01,"1549.47,Medina-Nguyen,2023-08-01"
1972.87,"Vazquez, Mitchell and Lopez",2023-04-30,"1972.87,Vazquez, Mitchell and Lopez,2023-04-30"
78.96,Baker-Adams,2023-02-07,"78.96,Baker-Adams,2023-02-07"
125.17,Mcdonald-Anderson,2023-03-19,"125.17,Mcdonald-Anderson,2023-03-19"
1699.0,Cline and Sons,2023-09-21,"1699.0,Cline and Sons,2023-09-21"
1382.07,Morgan-Lopez,2023-06-24,"1382.07,Morgan-Lopez,2023-06-24"
2580.73,"Harris, Jordan and Long",2023-04-12,"2580.73,Harris, Jordan and Long,2023-04-12"
404.62,"Richards, Barajas and Marsh",2023-08-12,"404.62,Richards, Barajas and Marsh,2023-08-12"
863.71,Sandoval-King,2023-01-19,"863.71,Sandoval-King,2023-01-19"
1404.19,Lambert-Kirby,2023-01-19,"1404.19,Lambert-Kirby,2023-01-19"
221.91,"Coleman, Watson and Hamilton",2023-05-17,"221.91,Coleman, Watson and Hamilton,2023-05-17"
10.47,Gonzalez-Patterson,2023-06-17,"10.47,Gonzalez-Patterson,2023-06-17"
113.79,Coleman-Cunningham,2023-04-26,"113.79,Coleman-Cunningham,2023-04-26"
595.74,May Group,2023-07-09,"595.74,May Group,2023-07-09"
16.88,Moreno Group,2023-05-22,"16.88,Moreno Group,2023-05-22"
2121.89,Davis-Hanson,2023-09-17,"2121.89,Davis-Hanson,2023-09-17"
286.57,"Wong, Edwards and Stewart",2023-03-12,"286.57,Wong, Edwards and Stewart,2023-03-12"
269.3,"Turner, Ortiz and Green",2023-02-23,"269.3,Turner, Ortiz and Green,2023-02-23"
568.84,Torres-Harris,2023-08-19,"568.84,Torres-Harris,2023-08-19"
231.76,Copeland-Solomon,2023-10-11,"231.76,Copeland-Solomon,2023-10-11"
42.71,Ryan-Williams,2023-01-04,"42.71,Ryan-Williams,2023-01-04"
856.16,"Tyler, Hill and Francis",2023-02-17,"856.16,Tyler, Hill and Francis,2023-02-17"
63.73,"West, Huffman and Fuller",2023-05-05,"63.73,West, Huffman and Fuller,2023-05-05"
73.1,"Anderson, Malone and Bailey",2023-08-25,"73.1,Anderson, Malone and Bailey,2023-08-25"
48.21,"Price, Davis and Sims",2023-07-30,"48.21,Price, Davis and Sims,2023-07-30"
727.56,"Melton, Irwin and Davis",2023-01-16,"727.56,Melton, Irwin and Davis,2023-01-16"
1568.12,Brown-Johnson,2023-06-29,"1568.12,Brown-Johnson,2023-06-29"
375.66,"Sherman, Farrell and Carson",2023-09-26,"375.66,Sherman, Farrell and Carson,2023-09-26"
58.32,"Jones, Shah and Castaneda",2023-10-01,"58.32,Jones, Shah and Castaneda,2023-10-01"
25.69,Li-Gonzales,2023-06-06,"25.69,Li-Gonzales,2023-06-06"
137.93,Graves Group,2023-05-26,"137.93,Graves Group,2023-05-26"
256.74,Snyder PLC,2023-07-06,"256.74,Snyder PLC,2023-07-06"
365.44,"Torres, Brown and Barber",2023-02-12,"365.44,Torres, Brown and Barber,2023-02-12"
10.33,Davis Group,2023-03-11,"10.33,Davis Group,2023-03-11"
1617.01,Yang PLC,2023-03-26,"1617.01,Yang PLC,2023-03-26"
125.61,Solis Ltd,2023-04-22,"125.61,Solis Ltd,2023-04-22"
1356.81,"Lowe, Morgan and Moreno",2023-01-29,"1356.81,Lowe, Morgan and Moreno,2023-01-29"
1521.06,Cooper-Martinez,2023-07-12,"1521.06,Cooper-Martinez,2023-07-12"
797.44,Morgan-Holmes,2023-02-15,"797.44,Morgan-Holmes,2023-02-15"
28.79,Dougherty Inc,2023-07-05,"28.79,Dougherty Inc,2023-07-05"
541.13,Perez-Conley,2023-07-06,"541.13,Perez-Conley,2023-07-06"
1824.11,Norris-Stewart,2023-05-21,"1824.11,Norris-Stewart,2023-05-21"
421.59,Moore and Sons,2023-04-05,"421.59,Moore and Sons,2023-04-05"
300.98,King and Sons,2023-05-24,"300.98,King and Sons,2023-05-24"
76.24,"Johnson, Campbell and Weber",2023-03-21,"76.24,Johnson, Campbell and Weber,2023-03-21"
19.82,Welch-Mosley,2023-07-03,"19.82,Welch-Mosley,2023-07-03"
487.64,"Mckee, Shaw and Jackson",2023-08-29,"487.64,Mckee, Shaw and Jackson,2023-08-29"
101.05,"Adams, Crawford and Mcdonald",2023-03-26,"101.05,Adams, Crawford and Mcdonald,2023-03-26"
57.6,"Holder, Jones and Lewis",2023-09-05,"57.6,Holder, Jones and Lewis,2023-09-05"
2143.55,"Lewis, Cummings and Johnson",2023-08-05,"2143.55,Lewis, Cummings and Johnson,2023-08-05"
25.91,"Robinson, Morton and Hensley",2023-02-06,"25.91,Robinson, Morton and Hensley,2023-02-06"
138.65,"White, Martinez and Chen",2023-05-04,"138.65,White, Martinez and Chen,2023-05-04"
188.46,Burgess-Garcia,2023-01-19,"188.46,Burgess-Garcia,2023-01-19"
19.09,Rivers Ltd,2023-09-22,"19.09,Rivers Ltd,2023-09-22"
21.28,Walter Ltd,2023-04-13,"21.28,Walter Ltd,2023-04-13"
36.72,Boone-Simpson,2023-04-11,"36.72,Boone-Simpson,2023-04-11"
1859.43,Murray-Ponce,2023-01-05,"1859.43,Murray-Ponce,2023-01-05"
54.63,Martin LLC,2023-09-15,"54.63,Martin LLC,2023-09-15"
42.23,Reid Group,2023-02-14,"42.23,Reid Group,2023-02-14"
27.78,Rose and Sons,2023-02-06,"27.78,Rose and Sons,2023-02-06"
91.36,"Vaughn, Hall and Hawkins",2023-09-12,"91.36,Vaughn, Hall and Hawkins,2023-09-12"
556.86,"Mcintosh, Lloyd and Finley",2023-01-22,"556.86,Mcintosh, Lloyd and Finley,2023-01-22"
35.54,Cain Ltd,2023-03-16,"35.54,Cain Ltd,2023-03-16"
154.8,Vaughan-Guzman,2023-03-13,"154.8,Vaughan-Guzman,2023-03-13"
66.12,Hanna-Holmes,2023-03-28,"66.12,Hanna-Holmes,2023-03-28"
130.55,Martin PLC,2023-09-13,"130.55,Martin PLC,2023-09-13"
55.54,"Keith, White and Castro",2023-05-22,"55.54,Keith, White and Castro,2023-05-22"
422.92,Mayo-Randall,2023-05-01,"422.92,Mayo-Randall,2023-05-01"
49.24,Snyder-Love,2023-01-18,"49.24,Snyder-Love,2023-01-18"
948.65,Strong Group,2023-08-27,"948.65,Strong Group,2023-08-27"
11.55,"Pollard, Mitchell and Hicks",2023-09-05,"11.55,Pollard, Mitchell and Hicks,2023-09-05"
37.69,"Simon, Jones and Thompson",2023-02-08,"37.69,Simon, Jones and Thompson,2023-02-08"
2782.62,Ho-Lopez,2023-05-14,"2782.62,Ho-Lopez,2023-05-14"
51.65,"Stuart, Tran and Larson",2023-07-08,"51.65,Stuart, Tran and Larson,2023-07-08"
383.55,"Miller, Mccarty and Webb",2023-05-21,"383.55,Miller, Mccarty and Webb,2023-05-21"
78.15,"George, Wilson and Spears",2023-07-01,"78.15,George, Wilson and Spears,2023-07-01"
202.21,Tucker-Curry,2023-06-23,"202.21,Tucker-Curry,2023-06-23"
125.97,"Krueger, Shelton and White",2023-03-04,"125.97,Krueger, Shelton and White,2023-03-04"
668.8,Sutton-Wilson,2023-07-16,"668.8,Sutton-Wilson,2023-07-16"
19.38,"Chavez, Simpson and Myers",2023-08-17,"19.38,Chavez, Simpson and Myers,2023-08-17"
689.0,Hines LLC,2023-09-30,"689.0,Hines LLC,2023-09-30"
624.42,Parrish-Parsons,2023-04-23,"624.42,Parrish-Parsons,2023-04-23"
43.71,"Henderson, Merritt and Howard",2023-09-24,"43.71,Henderson, Merritt and Howard,2023-09-24"
148.39,"Watson, Medina and Garcia",2023-04-11,"148.39,Watson, Medina and Garcia,2023-04-11"
535.92,"Hancock, Schmitt and Campbell",2023-07-24,"535.92,Hancock, Schmitt and Campbell,2023-07-24"
13.28,"Fisher, Olson and Taylor",2023-04-17,"13.28,Fisher, Olson and Taylor,2023-04-17"
78.53,Smith Group,2023-03-11,"78.53,Smith Group,2023-03-11"
216.46,Bauer-Torres,2023-06-07,"216.46,Bauer-Torres,2023-06-07"
88.71,Kim and Sons,2023-07-23,"88.71,Kim and Sons,2023-07-23"
94.85,Gates-Johnson,2023-07-23,"94.85,Gates-Johnson,2023-07-23"
936.14,Clark LLC,2023-01-27,"936.14,Clark LLC,2023-01-27"
65.24,"Randall, Fuentes and Alvarez",2023-06-15,"65.24,Randall, Fuentes and Alvarez,2023-06-15"
168.32,Smith-Hunt,2023-08-17,"168.32,Smith-Hunt,2023-08-17"
184.81,"Roth, Cobb and Hansen",2023-09-27,"184.81,Roth, Cobb and Hansen,2023-09-27"
68.9,Hernandez-Winters,2023-07-26,"68.9,Hernandez-Winters,2023-07-26"
249.2,Lopez PLC,2023-04-20,"249.2,Lopez PLC,2023-04-20"
370.15,Coleman Ltd,2023-05-01,"370.15,Coleman Ltd,2023-05-01"
1145.61,Smith-Fuller,2023-08-29,"1145.61,Smith-Fuller,2023-08-29"
30.16,Wood Group,2023-02-19,"30.16,Wood Group,2023-02-19"
163.17,Swanson and Sons,2023-09-04,"163.17,Swanson and Sons,2023-09-04"
1311.23,Parker-Le,2023-09-20,"1311.23,Parker-Le,2023-09-20"
164.13,"Johnson, Wilson and Morgan",2023-01-12,"164.13,Johnson, Wilson and Morgan,2023-01-12"
71.91,Graham LLC,2023-01-25,"71.91,Graham LLC,2023-01-25"
83.85,"Golden, Cooper and Hernandez",2023-08-16,"83.85,Golden, Cooper and Hernandez,2023-08-16"
119.54,Garcia-Burke,2023-08-30,"119.54,Garcia-Burke,2023-08-30"
270.86,"Griffin, Bolton and Thomas",2023-03-06,"270.86,Griffin, Bolton and Thomas,2023-03-06"
83.28,Johnson and Sons,2023-02-18,"83.28,Johnson and Sons,2023-02-18"
254.36,"Gregory, Shaffer and Wagner",2023-10-03,"254.36,Gregory, Shaffer and Wagner,2023-10-03"
56.88,Ramos-Gonzalez,2023-04-06,"56.88,Ramos-Gonzalez,2023-04-06"
173.23,"Lamb, Lewis and Decker",2023-05-22,"173.23,Lamb, Lewis and Decker,2023-05-22"
123.07,Smith Ltd,2023-06-30,"123.07,Smith Ltd,2023-06-30"
166.45,"Brown, Reid and Avila",2023-07-19,"166.45,Brown, Reid and Avila,2023-07-19"
226.95,Dickerson Ltd,2023-07-18,"226.95,Dickerson Ltd,2023-07-18"
2774.81,Hart Ltd,2023-02-17,"2774.81,Hart Ltd,2023-02-17"
69.12,Newman Group,2023-09-08,"69.12,Newman Group,2023-09-08"
85.99,Wood-Mitchell,2023-04-02,"85.99,Wood-Mitchell,2023-04-02"
24.62,"Gay, Bean and Morgan",2023-05-12,"24.62,Gay, Bean and Morgan,2023-05-12"
53.78,Beck PLC,2023-02-01,"53.78,Beck PLC,2023-02-01"
44.99,Ford-Perez,2023-01-16,"44.99,Ford-Perez,2023-01-16"
170.93,Clark-Williams,2023-02-09,"170.93,Clark-Williams,2023-02-09"
81.01,Ruiz-Becker,2023-07-02,"81.01,Ruiz-Becker,2023-07-02"
671.95,"Washington, Barrera and Marshall",2023-02-18,"671.95,Washington, Barrera and Marshall,2023-02-18"
17.75,"Yu, Wolfe and Estrada",2023-01-27,"17.75,Yu, Wolfe and Estrada,2023-01-27"
64.81,Cook PLC,2023-10-12,"64.81,Cook PLC,2023-10-12"
816.03,Doyle-Calderon,2023-02-10,"816.03,Doyle-Calderon,2023-02-10"
18.7,"Williams, West and Cook",2023-05-14,"18.7,Williams, West and Cook,2023-05-14"
819.4,Harris and Sons,2023-10-12,"819.4,Harris and Sons,2023-10-12"
297.03,"Arias, Johnson and Ward",2023-05-30,"297.03,Arias, Johnson and Ward,2023-05-30"
22.86,Lopez-Newton,2023-01-16,"22.86,Lopez-Newton,2023-01-16"
17.34,"Rodriguez, Stevens and Braun",2023-09-08,"17.34,Rodriguez, Stevens and Braun,2023-09-08"
2373.68,"Bowman, Hall and Stewart",2023-07-27,"2373.68,Bowman, Hall and Stewart,2023-07-27"
40.66,Fowler-Harrison,2023-08-31,"40.66,Fowler-Harrison,2023-08-31"
296.31,"Clark, Dominguez and Nelson",2023-05-20,"296.31,Clark, Dominguez and Nelson,2023-05-20"
70.55,"Williams, Mcdonald and Crawford",2023-08-02,"70.55,Williams, Mcdonald and Crawford,2023-08-02"
782.57,"Ward, Lloyd and Chen",2023-08-27,"782.57,Ward, Lloyd and Chen,2023-08-27"
76.24,Nguyen-Blair,2023-03-21,"76.24,Nguyen-Blair,2023-03-21"
15.09,Orr-Mcmillan,2023-03-11,"15.09,Orr-Mcmillan,2023-03-11"
23.94,Berry PLC,2023-02-01,"23.94,Berry PLC,2023-02-01"
126.26,Gilmore-Simpson,2023-02-22,"126.26,Gilmore-Simpson,2023-02-22"
34.79,Brown LLC,2023-03-22,"34.79,Brown LLC,2023-03-22"
2034.89,James-Scott,2023-01-17,"2034.89,James-Scott,2023-01-17"
16.65,Lewis Group,2023-01-25,"16.65,Lewis Group,2023-01-25"
36.6,Chavez PLC,2023-03-11,"36.6,Chavez PLC,2023-03-11"
62.3,Scott PLC,2023-07-10,"62.3,Scott PLC,2023-07-10"
56.47,Matthews-Flores,2023-02-02,"56.47,Matthews-Flores,2023-02-02"
225.82,Jones-Buck,2023-04-13,"225.82,Jones-Buck,2023-04-13"
963.27,Reed Ltd,2023-01-10,"963.27,Reed Ltd,2023-01-10"
17.22,Swanson Ltd,2023-04-08,"17.22,Swanson Ltd,2023-04-08"
2089.97,"Ward, Wood and Carroll",2023-08-20,"2089.97,Ward, Wood and Carroll,2023-08-20"
80.19,Payne and Sons,2023-04-10,"80.19,Payne and Sons,2023-04-10"
794.47,Williams PLC,2023-06-23,"794.47,Williams PLC,2023-06-23"
150.06,"Martin, Bennett and Ochoa",2023-06-16,"150.06,Martin, Bennett and Ochoa,2023-06-16"
20.32,Snyder-Miller,2023-09-05,"20.32,Snyder-Miller,2023-09-05"
104.04,Hart and Sons,2023-03-16,"104.04,Hart and Sons,2023-03-16"
107.52,Sanders-Barnes,2023-03-14,"107.52,Sanders-Barnes,2023-03-14"
93.75,Wilkinson Group,2023-09-05,"93.75,Wilkinson Group,2023-09-05"
520.34,"Gonzalez, Ramsey and Scott",2023-05-17,"520.34,Gonzalez, Ramsey and Scott,2023-05-17"
79.76,"Williams, Walker and Riggs",2023-01-01,"79.76,Williams, Walker and Riggs,2023-01-01"
58.73,"May, Guerrero and Morgan",2023-05-07,"58.73,May, Guerrero and Morgan,2023-05-07"
170.95,"Hill, Pierce and Cross",2023-07-14,"170.95,Hill, Pierce and Cross,2023-07-14"
662.73,Ford-Sutton,2023-07-30,"662.73,Ford-Sutton,2023-07-30"
274.78,Parker-Dunn,2023-08-08,"274.78,Parker-Dunn,2023-08-08"
35.6,Johnson Group,2023-02-23,"35.6,Johnson Group,2023-02-23"
2712.67,Huff Ltd,2023-02-01,"2712.67,Huff Ltd,2023-02-01"
265.77,Parker Inc,2023-07-29,"265.77,Parker Inc,2023-07-29"
342.66,Hernandez PLC,2023-06-22,"342.66,Hernandez PLC,2023-06-22"
94.32,"Gutierrez, Smith and Gonzalez",2023-07-12,"94.32,Gutierrez, Smith and Gonzalez,2023-07-12"
42.07,"Thomas, Medina and Robinson",2023-02-12,"42.07,Thomas, Medina and Robinson,2023-02-12"
358.46,Bailey-Davenport,2023-09-19,"358.46,Bailey-Davenport,2023-09-19"
138.79,"Boone, Mcdonald and Pollard",2023-05-19,"138.79,Boone, Mcdonald and Pollard,2023-05-19"
202.77,"Schmidt, Howell and Dixon",2023-09-12,"202.77,Schmidt, Howell and Dixon,2023-09-12"
691.63,Cohen-Allen,2023-07-19,"691.63,Cohen-Allen,2023-07-19"
33.3,Garcia and Sons,2023-08-25,"33.3,Garcia and Sons,2023-08-25"
80.61,Glover and Sons,2023-07-28,"80.61,Glover and Sons,2023-07-28"
275.64,Nelson Group,2023-06-22,"275.64,Nelson Group,2023-06-22"
181.11,Herman Group,2023-09-19,"181.11,Herman Group,2023-09-19"
62.55,"Quinn, Phillips and Dixon",2023-10-10,"62.55,Quinn, Phillips and Dixon,2023-10-10"
262.66,Flynn-Jackson,2023-03-08,"262.66,Flynn-Jackson,2023-03-08"
1158.09,Parker-Steele,2023-08-10,"1158.09,Parker-Steele,2023-08-10"
53.69,Brown Inc,2023-04-25,"53.69,Brown Inc,2023-04-25"
1103.04,"Miller, Lloyd and Hunt",2023-07-23,"1103.04,Miller, Lloyd and Hunt,2023-07-23"
161.04,Douglas Group,2023-09-12,"161.04,Douglas Group,2023-09-12"
247.85,Hartman-Alexander,2023-09-02,"247.85,Hartman-Alexander,2023-09-02"
71.15,Harmon-Hurst,2023-05-25,"71.15,Harmon-Hurst,2023-05-25"
198.6,Taylor PLC,2023-04-11,"198.6,Taylor PLC,2023-04-11"
1715.68,"Castillo, Davis and Brown",2023-09-19,"1715.68,Castillo, Davis and Brown,2023-09-19"
177.69,"Santos, Reynolds and Patton",2023-03-28,"177.69,Santos, Reynolds and Patton,2023-03-28"
12.86,Watson and Sons,2023-09-17,"12.86,Watson and Sons,2023-09-17"
168.49,"Williams, Michael and Ryan",2023-06-26,"168.49,Williams, Michael and Ryan,2023-06-26"
122.58,"Burton, Lara and Cain",2023-02-26,"122.58,Burton, Lara and Cain,2023-02-26"
998.4,"Bowen, Wilson and Black",2023-09-03,"998.4,Bowen, Wilson and Black,2023-09-03"
41.24,Barnes-Caldwell,2023-05-09,"41.24,Barnes-Caldwell,2023-05-09"
870.72,"Kelley, Brown and Hayes",2023-07-13,"870.72,Kelley, Brown and Hayes,2023-07-13"
522.32,"Mcgrath, Black and Bryan",2023-09-07,"522.32,Mcgrath, Black and Bryan,2023-09-07"
125.23,Thomas LLC,2023-05-05,"125.23,Thomas LLC,2023-05-05"
140.48,Reed and Sons,2023-01-04,"140.48,Reed and Sons,2023-01-04"
293.71,"Santiago, Adams and Rogers",2023-05-29,"293.71,Santiago, Adams and Rogers,2023-05-29"
164.52,"Walker, Porter and Bray",2023-08-25,"164.52,Walker, Porter and Bray,2023-08-25"
29.78,"Graham, Bishop and Cox",2023-07-03,"29.78,Graham, Bishop and Cox,2023-07-03"
131.88,Stone PLC,2023-03-27,"131.88,Stone PLC,2023-03-27"
14.31,Wu PLC,2023-07-04,"14.31,Wu PLC,2023-07-04"
148.92,Warren-Mclaughlin,2023-06-25,"148.92,Warren-Mclaughlin,2023-06-25"
168.3,Thompson-Jones,2023-07-07,"168.3,Thompson-Jones,2023-07-07"
70.38,Jackson and Sons,2023-02-06,"70.38,Jackson and Sons,2023-02-06"
266.77,Hughes Group,2023-05-12,"266.77,Hughes Group,2023-05-12"
37.46,"Shepherd, Caldwell and Knight",2023-04-11,"37.46,Shepherd, Caldwell and Knight,2023-04-11"
1550.34,Dean-Walker,2023-08-03,"1550.34,Dean-Walker,2023-08-03"
45.79,Larson and Sons,2023-08-15,"45.79,Larson and Sons,2023-08-15"
104.84,Cooper and Sons,2023-09-10,"104.84,Cooper and Sons,2023-09-10"
143.14,Huber-Henry,2023-02-20,"143.14,Huber-Henry,2023-02-20"
327.74,Smith-Watts,2023-01-12,"327.74,Smith-Watts,2023-01-12"
816.29,Phillips Ltd,2023-07-17,"816.29,Phillips Ltd,2023-07-17"
83.88,Brown-Hernandez,2023-01-28,"83.88,Brown-Hernandez,2023-01-28"
898.08,Kane-Mcintyre,2023-09-10,"898.08,Kane-Mcintyre,2023-09-10"
908.08,Gates PLC,2023-02-03,"908.08,Gates PLC,2023-02-03"
71.33,Barker-Miller,2023-07-29,"71.33,Barker-Miller,2023-07-29"
62.88,Ryan Inc,2023-03-24,"62.88,Ryan Inc,2023-03-24"
1070.62,"Fox, Galloway and Lowe",2023-05-29,"1070.62,Fox, Galloway and Lowe,2023-05-29"
42.9,"Sanders, Palmer and Anderson",2023-07-30,"42.9,Sanders, Palmer and Anderson,2023-07-30"
18.1,Olson LLC,2023-09-05,"18.1,Olson LLC,2023-09-05"
2073.98,Sheppard Group,2023-06-25,"2073.98,Sheppard Group,2023-06-25"
107.67,Mullins Ltd,2023-03-13,"107.67,Mullins Ltd,2023-03-13"
203.44,White-Simmons,2023-08-18,"203.44,White-Simmons,2023-08-18"
360.46,"Simon, Hall and French",2023-08-22,"360.46,Simon, Hall and French,2023-08-22"
483.88,"Shaw, Sawyer and Romero",2023-01-16,"483.88,Shaw, Sawyer and Romero,2023-01-16"
82.94,"Glenn, Dennis and Guerra",2023-08-20,"82.94,Glenn, Dennis and Guerra,2023-08-20"
57.63,Jones-Knight,2023-04-26,"57.63,Jones-Knight,2023-04-26"
118.93,"Fletcher, Wilson and Duncan",2023-04-03,"118.93,Fletcher, Wilson and Duncan,2023-04-03"
172.16,Stevens and Sons,2023-04-12,"172.16,Stevens and Sons,2023-04-12"
969.95,Stout PLC,2023-03-29,"969.95,Stout PLC,2023-03-29"
982.5,Anthony Inc,2023-01-06,"982.5,Anthony Inc,2023-01-06"
889.54,"Davis, Sanchez and Thomas",2023-01-30,"889.54,Davis, Sanchez and Thomas,2023-01-30"
186.89,Michael and Sons,2023-05-21,"186.89,Michael and Sons,2023-05-21"
217.67,Anderson LLC,2023-03-29,"217.67,Anderson LLC,2023-03-29"
527.4,Woods PLC,2023-03-15,"527.4,Woods PLC,2023-03-15"
105.85,Shannon Ltd,2023-02-13,"105.85,Shannon Ltd,2023-02-13"
1737.59,"Jones, Russell and Maddox",2023-01-24,"1737.59,Jones, Russell and Maddox,2023-01-24"
12.4,Davis-Christensen,2023-08-18,"12.4,Davis-Christensen,2023-08-18"
641.16,"Evans, Vaughn and Dixon",2023-07-10,"641.16,Evans, Vaughn and Dixon,2023-07-10"
162.54,Garcia LLC,2023-08-29,"162.54,Garcia LLC,2023-08-29"
1822.47,Camacho Inc,2023-08-04,"1822.47,Camacho Inc,2023-08-04"
64.7,Kelly-Brown,2023-08-29,"64.7,Kelly-Brown,2023-08-29"
374.8,Smith Group,2023-10-13,"374.8,Smith Group,2023-10-13"
164.94,"Marshall, Underwood and Burns",2023-03-29,"164.94,Marshall, Underwood and Burns,2023-03-29"
133.27,Evans and Sons,2023-07-18,"133.27,Evans and Sons,2023-07-18"
90.2,"Shepherd, Harrison and Perry",2023-04-03,"90.2,Shepherd, Harrison and Perry,2023-04-03"
115.08,Hansen Inc,2023-10-11,"115.08,Hansen Inc,2023-10-11"
196.82,"Wilson, Clark and Tucker",2023-06-13,"196.82,Wilson, Clark and Tucker,2023-06-13"
2166.78,Moore-Meza,2023-06-11,"2166.78,Moore-Meza,2023-06-11"
40.08,Ford and Sons,2023-01-11,"40.08,Ford and Sons,2023-01-11"
324.85,Love and Sons,2023-09-23,"324.85,Love and Sons,2023-09-23"
56.47,"Mann, Booker and Moss",2023-02-06,"56.47,Mann, Booker and Moss,2023-02-06"
515.01,Smith Inc,2023-04-10,"515.01,Smith Inc,2023-04-10"
416.14,Price LLC,2023-09-13,"416.14,Price LLC,2023-09-13"
93.93,"Shannon, Turner and Greene",2023-03-18,"93.93,Shannon, Turner and Greene,2023-03-18"
642.25,"Peterson, Hernandez and Osborn",2023-04-12,"642.25,Peterson, Hernandez and Osborn,2023-04-12"
71.7,"Morrison, Houston and Smith",2023-09-12,"71.7,Morrison, Houston and Smith,2023-09-12"
2893.73,White LLC,2023-08-02,"2893.73,White LLC,2023-08-02"
425.27,Phillips Ltd,2023-07-09,"425.27,Phillips Ltd,2023-07-09"
176.07,Macias-Ramirez,2023-09-28,"176.07,Macias-Ramirez,2023-09-28"
846.6,"Nguyen, Vaughan and Alvarez",2023-02-03,"846.6,Nguyen, Vaughan and Alvarez,2023-02-03"
242.56,"Kelly, Wyatt and Campbell",2023-07-30,"242.56,Kelly, Wyatt and Campbell,2023-07-30"
256.64,Rogers-Hill,2023-09-22,"256.64,Rogers-Hill,2023-09-22"
88.06,Mora Group,2023-03-12,"88.06,Mora Group,2023-03-12"
246.84,Tapia-Lopez,2023-04-25,"246.84,Tapia-Lopez,2023-04-25"
156.67,Marsh-Gaines,2023-02-13,"156.67,Marsh-Gaines,2023-02-13"
67.15,Le-Blair,2023-02-16,"67.15,Le-Blair,2023-02-16"
210.23,"Nielsen, Morrow and Arnold",2023-09-07,"210.23,Nielsen, Morrow and Arnold,2023-09-07"
15.4,Schultz-White,2023-04-15,"15.4,Schultz-White,2023-04-15"
636.11,"Sullivan, Keller and Allen",2023-07-31,"636.11,Sullivan, Keller and Allen,2023-07-31"
2234.2,Thomas Group,2023-06-27,"2234.2,Thomas Group,2023-06-27"
220.54,"Jones, Brooks and Thomas",2023-08-11,"220.54,Jones, Brooks and Thomas,2023-08-11"
32.97,Knight LLC,2023-02-24,"32.97,Knight LLC,2023-02-24"
165.67,Estes PLC,2023-05-28,"165.67,Estes PLC,2023-05-28"
87.69,Hernandez LLC,2023-04-24,"87.69,Hernandez LLC,2023-04-24"
121.59,"Guerrero, Griffith and Brooks",2023-02-11,"121.59,Guerrero, Griffith and Brooks,2023-02-11"
236.31,Collins-Walker,2023-04-24,"236.31,Collins-Walker,2023-04-24"
99.24,Griffin-Hudson,2023-07-03,"99.24,Griffin-Hudson,2023-07-03"
157.48,Garrison-Gardner,2023-03-30,"157.48,Garrison-Gardner,2023-03-30"
61.58,Wilkins-Rivera,2023-07-06,"61.58,Wilkins-Rivera,2023-07-06"
94.25,"Mullins, Burns and Bennett",2023-03-26,"94.25,Mullins, Burns and Bennett,2023-03-26"
74.51,"Mora, Scott and Diaz",2023-04-30,"74.51,Mora, Scott and Diaz,2023-04-30"
98.97,Smith-Johnson,2023-07-09,"98.97,Smith-Johnson,2023-07-09"
160.48,"Williams, Morgan and Russell",2023-08-14,"160.48,Williams, Morgan and Russell,2023-08-14"
49.37,Flores-Jackson,2023-06-23,"49.37,Flores-Jackson,2023-06-23"
299.12,Lewis-Mccann,2023-06-18,"299.12,Lewis-Mccann,2023-06-18"
1288.16,Cummings-Hill,2023-06-25,"1288.16,Cummings-Hill,2023-06-25"
356.72,Flores-Ramirez,2023-04-07,"356.72,Flores-Ramirez,2023-04-07"
2804.2,Barker LLC,2023-03-24,"2804.2,Barker LLC,2023-03-24"
46.38,Harris LLC,2023-10-03,"46.38,Harris LLC,2023-10-03"
180.75,"Ramirez, Ray and Gardner",2023-02-18,"180.75,Ramirez, Ray and Gardner,2023-02-18"
