country,rank,year,passport_info
Poland,9,2018,"Poland,9,2018"
St. Kitts and Nevis,36,2007,"St. Kitts and Nevis,36,2007"
Grenada,32,2016,"Grenada,32,2016"
Armenia,87,2020,"Armenia,87,2020"
Chile,10,2010,"Chile,10,2010"
Estonia,17,2019,"Estonia,17,2019"
Iraq,107,2015,"Iraq,107,2015"
Azerbaijan,62,2012,"Azerbaijan,62,2012"
Solomon Islands,42,2014,"Solomon Islands,42,2014"
Bulgaria,9,2015,"Bulgaria,9,2015"
Qatar,44,2012,"Qatar,44,2012"
Lithuania,10,2017,"Lithuania,10,2017"
Yemen,99,2020,"Yemen,99,2020"
Austria,5,2019,"Austria,5,2019"
Venezuela,63,2007,"Venezuela,63,2007"
Myanmar,85,2012,"Myanmar,85,2012"
Syria,109,2007,"Syria,109,2007"
Trinidad and Tobago,42,2016,"Trinidad and Tobago,42,2016"
Austria,2,2015,"Austria,2,2015"
Kenya,77,2017,"Kenya,77,2017"
Algeria,88,2018,"Algeria,88,2018"
Dominican Republic,72,2008,"Dominican Republic,72,2008"
Luxembourg,6,2019,"Luxembourg,6,2019"
Zimbabwe,39,2009,"Zimbabwe,39,2009"
Dominica,45,2018,"Dominica,45,2018"
Paraguay,21,2017,"Paraguay,21,2017"
Brunei,49,2011,"Brunei,49,2011"
Tunisia,41,2020,"Tunisia,41,2020"
Hong Kong (SAR China),8,2018,"Hong Kong (SAR China),8,2018"
Lithuania,21,2018,"Lithuania,21,2018"
North Macedonia,43,2015,"North Macedonia,43,2015"
Niger,86,2019,"Niger,86,2019"
Zambia,80,2019,"Zambia,80,2019"
Micronesia,60,2013,"Micronesia,60,2013"
Netherlands,4,2017,"Netherlands,4,2017"
Nicaragua,59,2010,"Nicaragua,59,2010"
Austria,3,2019,"Austria,3,2019"
Ireland,5,2019,"Ireland,5,2019"
Maldives,42,2017,"Maldives,42,2017"
Nigeria,90,2013,"Nigeria,90,2013"
Laos,90,2008,"Laos,90,2008"
Zambia,59,2008,"Zambia,59,2008"
Senegal,83,2006,"Senegal,83,2006"
New Zealand,4,2007,"New Zealand,4,2007"
Central African Republic,92,2015,"Central African Republic,92,2015"
United Arab Emirates,37,2006,"United Arab Emirates,37,2006"
St. Vincent and the Grenadines,25,2020,"St. Vincent and the Grenadines,25,2020"
Kyrgyzstan,82,2013,"Kyrgyzstan,82,2013"
Brunei,19,2006,"Brunei,19,2006"
Dominica,29,2015,"Dominica,29,2015"
Norway,5,2020,"Norway,5,2020"
Algeria,73,2007,"Algeria,73,2007"
Equatorial Guinea,86,2017,"Equatorial Guinea,86,2017"
eSwatini,49,2007,"eSwatini,49,2007"
Bhutan,81,2011,"Bhutan,81,2011"
Iran,96,2007,"Iran,96,2007"
Tunisia,71,2019,"Tunisia,71,2019"
Afghanistan,110,2016,"Afghanistan,110,2016"
Rwanda,84,2021,"Rwanda,84,2021"
Syria,109,2016,"Syria,109,2016"
Mongolia,57,2018,"Mongolia,57,2018"
Maldives,59,2013,"Maldives,59,2013"
Bahrain,74,2008,"Bahrain,74,2008"
Malawi,65,2010,"Malawi,65,2010"
Cape Verde Islands,78,2021,"Cape Verde Islands,78,2021"
Mozambique,68,2016,"Mozambique,68,2016"
Guinea-Bissau,83,2012,"Guinea-Bissau,83,2012"
Rwanda,82,2019,"Rwanda,82,2019"
Marshall Islands,36,2007,"Marshall Islands,36,2007"
Dominican Republic,65,2007,"Dominican Republic,65,2007"
Cote d'Ivoire,87,2014,"Cote d'Ivoire,87,2014"
United States,15,2015,"United States,15,2015"
Turkmenistan,90,2013,"Turkmenistan,90,2013"
Dominica,55,2016,"Dominica,55,2016"
Papua New Guinea,54,2014,"Papua New Guinea,54,2014"
Niger,96,2021,"Niger,96,2021"
Indonesia,55,2010,"Indonesia,55,2010"
Burkina Faso,82,2009,"Burkina Faso,82,2009"
Vietnam,95,2019,"Vietnam,95,2019"
Mexico,26,2022,"Mexico,26,2022"
Eritrea,83,2006,"Eritrea,83,2006"
Indonesia,58,2009,"Indonesia,58,2009"
Bahrain,72,2013,"Bahrain,72,2013"
Iceland,5,2019,"Iceland,5,2019"
Monaco,7,2017,"Monaco,7,2017"
Sri Lanka,92,2007,"Sri Lanka,92,2007"
Zambia,64,2016,"Zambia,64,2016"
St. Kitts and Nevis,42,2021,"St. Kitts and Nevis,42,2021"
Liechtenstein,66,2021,"Liechtenstein,66,2021"
Maldives,67,2015,"Maldives,67,2015"
Indonesia,68,2014,"Indonesia,68,2014"
Seychelles,21,2016,"Seychelles,21,2016"
Vatican City,35,2008,"Vatican City,35,2008"
Andorra,5,2009,"Andorra,5,2009"
Zimbabwe,69,2011,"Zimbabwe,69,2011"
Dominica,41,2012,"Dominica,41,2012"
Grenada,31,2007,"Grenada,31,2007"
South Sudan,94,2018,"South Sudan,94,2018"
Sudan,96,2009,"Sudan,96,2009"
Jordan,86,2017,"Jordan,86,2017"
Papua New Guinea,51,2017,"Papua New Guinea,51,2017"
Cote d'Ivoire,71,2014,"Cote d'Ivoire,71,2014"
Malaysia,15,2011,"Malaysia,15,2011"
Turkey,51,2014,"Turkey,51,2014"
Sweden,11,2010,"Sweden,11,2010"
Morocco,76,2017,"Morocco,76,2017"
Syria,104,2020,"Syria,104,2020"
Syria,103,2012,"Syria,103,2012"
Seychelles,56,2020,"Seychelles,56,2020"
Ghana,69,2018,"Ghana,69,2018"
Costa Rica,56,2008,"Costa Rica,56,2008"
Congo (Dem. Rep.),92,2014,"Congo (Dem. Rep.),92,2014"
Marshall Islands,46,2007,"Marshall Islands,46,2007"
Bulgaria,37,2021,"Bulgaria,37,2021"
Iceland,14,2011,"Iceland,14,2011"
Monaco,12,2011,"Monaco,12,2011"
Sri Lanka,83,2006,"Sri Lanka,83,2006"
France,5,2020,"France,5,2020"
Mongolia,60,2009,"Mongolia,60,2009"
Kiribati,60,2008,"Kiribati,60,2008"
Guinea,88,2021,"Guinea,88,2021"
Sierra Leone,69,2007,"Sierra Leone,69,2007"
Moldova,46,2010,"Moldova,46,2010"
Vietnam,75,2010,"Vietnam,75,2010"
Burkina Faso,83,2011,"Burkina Faso,83,2011"
Tajikistan,69,2020,"Tajikistan,69,2020"
Honduras,67,2014,"Honduras,67,2014"
Bosnia and Herzegovina,67,2013,"Bosnia and Herzegovina,67,2013"
Tonga,33,2007,"Tonga,33,2007"
Oman,58,2019,"Oman,58,2019"
Burkina Faso,77,2020,"Burkina Faso,77,2020"
Kenya,71,2008,"Kenya,71,2008"
Macao (SAR China),51,2013,"Macao (SAR China),51,2013"
Netherlands,16,2016,"Netherlands,16,2016"
Romania,19,2013,"Romania,19,2013"
Laos,88,2017,"Laos,88,2017"
Congo (Rep.),82,2016,"Congo (Rep.),82,2016"
Belarus,50,2009,"Belarus,50,2009"
Sao Tome and Principe,69,2017,"Sao Tome and Principe,69,2017"
Oman,64,2019,"Oman,64,2019"
Suriname,64,2021,"Suriname,64,2021"
North Macedonia,45,2012,"North Macedonia,45,2012"
Marshall Islands,64,2021,"Marshall Islands,64,2021"
Saudi Arabia,80,2012,"Saudi Arabia,80,2012"
Malaysia,17,2017,"Malaysia,17,2017"
Nauru,42,2012,"Nauru,42,2012"
Andorra,11,2010,"Andorra,11,2010"
New Zealand,17,2014,"New Zealand,17,2014"
Singapore,1,2016,"Singapore,1,2016"
Tonga,64,2017,"Tonga,64,2017"
Argentina,5,2007,"Argentina,5,2007"
Zimbabwe,39,2015,"Zimbabwe,39,2015"
Guyana,44,2019,"Guyana,44,2019"
Burundi,91,2021,"Burundi,91,2021"
Bolivia,77,2018,"Bolivia,77,2018"
Mexico,26,2012,"Mexico,26,2012"
Czech Republic,9,2012,"Czech Republic,9,2012"
Samoa,30,2019,"Samoa,30,2019"
Costa Rica,38,2009,"Costa Rica,38,2009"
Grenada,45,2020,"Grenada,45,2020"
St. Kitts and Nevis,56,2021,"St. Kitts and Nevis,56,2021"
Nigeria,89,2007,"Nigeria,89,2007"
Vanuatu,20,2007,"Vanuatu,20,2007"
Malaysia,17,2018,"Malaysia,17,2018"
Gabon,92,2020,"Gabon,92,2020"
Dominican Republic,67,2010,"Dominican Republic,67,2010"
Bolivia,20,2009,"Bolivia,20,2009"
Syria,98,2022,"Syria,98,2022"
Togo,70,2012,"Togo,70,2012"
Iraq,104,2015,"Iraq,104,2015"
United Kingdom,5,2015,"United Kingdom,5,2015"
Moldova,61,2017,"Moldova,61,2017"
Taiwan (Chinese Taipei),46,2017,"Taiwan (Chinese Taipei),46,2017"
Lesotho,49,2009,"Lesotho,49,2009"
Luxembourg,4,2020,"Luxembourg,4,2020"
South Africa,24,2011,"South Africa,24,2011"
Tunisia,66,2014,"Tunisia,66,2014"
Namibia,56,2008,"Namibia,56,2008"
Senegal,80,2007,"Senegal,80,2007"
Qatar,46,2008,"Qatar,46,2008"
Nauru,70,2016,"Nauru,70,2016"
Ethiopia,100,2009,"Ethiopia,100,2009"
Sudan,87,2008,"Sudan,87,2008"
China,63,2022,"China,63,2022"
St. Vincent and the Grenadines,33,2008,"St. Vincent and the Grenadines,33,2008"
Algeria,74,2014,"Algeria,74,2014"
Germany,3,2022,"Germany,3,2022"
Sudan,93,2015,"Sudan,93,2015"
Chile,19,2007,"Chile,19,2007"
Hong Kong (SAR China),27,2020,"Hong Kong (SAR China),27,2020"
Netherlands,4,2017,"Netherlands,4,2017"
Bolivia,75,2020,"Bolivia,75,2020"
Haiti,89,2015,"Haiti,89,2015"
Bosnia and Herzegovina,52,2018,"Bosnia and Herzegovina,52,2018"
Vietnam,76,2020,"Vietnam,76,2020"
Netherlands,9,2010,"Netherlands,9,2010"
Haiti,93,2010,"Haiti,93,2010"
Romania,11,2007,"Romania,11,2007"
Madagascar,78,2009,"Madagascar,78,2009"
Italy,3,2010,"Italy,3,2010"
Ethiopia,76,2007,"Ethiopia,76,2007"
St. Kitts and Nevis,6,2007,"St. Kitts and Nevis,6,2007"
St. Lucia,28,2010,"St. Lucia,28,2010"
United Kingdom,7,2016,"United Kingdom,7,2016"
Chad,83,2008,"Chad,83,2008"
Canada,12,2011,"Canada,12,2011"
Belarus,33,2006,"Belarus,33,2006"
France,4,2011,"France,4,2011"
Papua New Guinea,71,2019,"Papua New Guinea,71,2019"
Denmark,17,2011,"Denmark,17,2011"
Solomon Islands,19,2016,"Solomon Islands,19,2016"
Australia,7,2015,"Australia,7,2015"
Barbados,36,2020,"Barbados,36,2020"
Belize,34,2010,"Belize,34,2010"
United Arab Emirates,24,2010,"United Arab Emirates,24,2010"
Cuba,63,2020,"Cuba,63,2020"
Burundi,95,2014,"Burundi,95,2014"
Libya,102,2006,"Libya,102,2006"
Paraguay,57,2013,"Paraguay,57,2013"
Congo (Rep.),90,2018,"Congo (Rep.),90,2018"
Canada,6,2017,"Canada,6,2017"
Zimbabwe,59,2018,"Zimbabwe,59,2018"
Israel,10,2009,"Israel,10,2009"
Slovenia,16,2007,"Slovenia,16,2007"
Estonia,14,2017,"Estonia,14,2017"
Paraguay,11,2015,"Paraguay,11,2015"
United Kingdom,9,2016,"United Kingdom,9,2016"
Bahrain,58,2008,"Bahrain,58,2008"
Myanmar,90,2021,"Myanmar,90,2021"
Czech Republic,10,2013,"Czech Republic,10,2013"
Palestinian Territory,102,2021,"Palestinian Territory,102,2021"
Greece,21,2017,"Greece,21,2017"
France,3,2019,"France,3,2019"
Denmark,5,2017,"Denmark,5,2017"
Netherlands,5,2015,"Netherlands,5,2015"
Sudan,92,2021,"Sudan,92,2021"
Poland,27,2022,"Poland,27,2022"
San Marino,8,2009,"San Marino,8,2009"
Somalia,94,2019,"Somalia,94,2019"
Palau Islands,45,2012,"Palau Islands,45,2012"
South Africa,66,2017,"South Africa,66,2017"
Madagascar,81,2021,"Madagascar,81,2021"
Suriname,77,2020,"Suriname,77,2020"
Madagascar,88,2015,"Madagascar,88,2015"
El Salvador,29,2011,"El Salvador,29,2011"
Gabon,86,2021,"Gabon,86,2021"
Poland,13,2010,"Poland,13,2010"
El Salvador,35,2021,"El Salvador,35,2021"
Brunei,29,2016,"Brunei,29,2016"
Germany,2,2008,"Germany,2,2008"
Syria,105,2020,"Syria,105,2020"
Mauritius,56,2013,"Mauritius,56,2013"
Belize,79,2017,"Belize,79,2017"
Nigeria,82,2020,"Nigeria,82,2020"
Italy,1,2012,"Italy,1,2012"
Congo (Rep.),80,2006,"Congo (Rep.),80,2006"
Algeria,88,2015,"Algeria,88,2015"
Luxembourg,7,2019,"Luxembourg,7,2019"
Belize,44,2016,"Belize,44,2016"
Morocco,71,2011,"Morocco,71,2011"
El Salvador,36,2016,"El Salvador,36,2016"
Bolivia,74,2016,"Bolivia,74,2016"
South Sudan,91,2017,"South Sudan,91,2017"
Singapore,1,2007,"Singapore,1,2007"
Cyprus,10,2013,"Cyprus,10,2013"
Kosovo,97,2013,"Kosovo,97,2013"
Senegal,71,2018,"Senegal,71,2018"
Taiwan (Chinese Taipei),63,2019,"Taiwan (Chinese Taipei),63,2019"
Poland,7,2020,"Poland,7,2020"
Malawi,82,2009,"Malawi,82,2009"
Eritrea,102,2007,"Eritrea,102,2007"
Slovenia,12,2017,"Slovenia,12,2017"
Nauru,37,2007,"Nauru,37,2007"
Sudan,96,2021,"Sudan,96,2021"
Antigua and Barbuda,13,2008,"Antigua and Barbuda,13,2008"
Andorra,16,2017,"Andorra,16,2017"
Spain,4,2010,"Spain,4,2010"
Bangladesh,96,2015,"Bangladesh,96,2015"
Oman,55,2018,"Oman,55,2018"
Denmark,5,2019,"Denmark,5,2019"
Nigeria,100,2017,"Nigeria,100,2017"
United Kingdom,7,2009,"United Kingdom,7,2009"
Guatemala,61,2019,"Guatemala,61,2019"
Equatorial Guinea,79,2019,"Equatorial Guinea,79,2019"
Dominican Republic,53,2007,"Dominican Republic,53,2007"
Mali,90,2019,"Mali,90,2019"
Palau Islands,66,2012,"Palau Islands,66,2012"
Ecuador,60,2011,"Ecuador,60,2011"
Kyrgyzstan,64,2012,"Kyrgyzstan,64,2012"
Burundi,74,2011,"Burundi,74,2011"
Kiribati,28,2006,"Kiribati,28,2006"
Eritrea,89,2008,"Eritrea,89,2008"
Rwanda,67,2014,"Rwanda,67,2014"
Slovakia,6,2010,"Slovakia,6,2010"
Sierra Leone,62,2010,"Sierra Leone,62,2010"
Croatia,19,2008,"Croatia,19,2008"
Congo (Rep.),98,2008,"Congo (Rep.),98,2008"
Trinidad and Tobago,46,2019,"Trinidad and Tobago,46,2019"
Yemen,103,2018,"Yemen,103,2018"
Macao (SAR China),28,2019,"Macao (SAR China),28,2019"
St. Vincent and the Grenadines,22,2018,"St. Vincent and the Grenadines,22,2018"
Bolivia,55,2020,"Bolivia,55,2020"
Germany,3,2022,"Germany,3,2022"
Hong Kong (SAR China),47,2011,"Hong Kong (SAR China),47,2011"
Nauru,22,2017,"Nauru,22,2017"
Jordan,88,2012,"Jordan,88,2012"
Ukraine,31,2022,"Ukraine,31,2022"
Djibouti,87,2016,"Djibouti,87,2016"
Palestinian Territory,104,2016,"Palestinian Territory,104,2016"
Japan,1,2006,"Japan,1,2006"
Senegal,75,2021,"Senegal,75,2021"
India,69,2008,"India,69,2008"
Germany,1,2010,"Germany,1,2010"
Norway,11,2020,"Norway,11,2020"
Bosnia and Herzegovina,59,2010,"Bosnia and Herzegovina,59,2010"
Congo (Dem. Rep.),87,2012,"Congo (Dem. Rep.),87,2012"
Malawi,73,2020,"Malawi,73,2020"
Mexico,16,2018,"Mexico,16,2018"
Brazil,16,2016,"Brazil,16,2016"
Montenegro,71,2021,"Montenegro,71,2021"
Georgia,36,2008,"Georgia,36,2008"
Slovenia,18,2017,"Slovenia,18,2017"
Botswana,60,2021,"Botswana,60,2021"
Montenegro,44,2010,"Montenegro,44,2010"
Oman,74,2013,"Oman,74,2013"
Nepal,96,2009,"Nepal,96,2009"
Georgia,77,2009,"Georgia,77,2009"
Andorra,55,2020,"Andorra,55,2020"
Vietnam,74,2012,"Vietnam,74,2012"
Equatorial Guinea,74,2018,"Equatorial Guinea,74,2018"
Latvia,13,2015,"Latvia,13,2015"
Venezuela,22,2018,"Venezuela,22,2018"
Moldova,24,2009,"Moldova,24,2009"
Sierra Leone,81,2015,"Sierra Leone,81,2015"
Belgium,3,2012,"Belgium,3,2012"
St. Lucia,19,2008,"St. Lucia,19,2008"
Armenia,80,2013,"Armenia,80,2013"
Slovenia,6,2016,"Slovenia,6,2016"
Azerbaijan,78,2011,"Azerbaijan,78,2011"
Solomon Islands,64,2016,"Solomon Islands,64,2016"
Panama,37,2011,"Panama,37,2011"
Monaco,46,2012,"Monaco,46,2012"
St. Vincent and the Grenadines,32,2016,"St. Vincent and the Grenadines,32,2016"
Slovenia,29,2018,"Slovenia,29,2018"
Oman,72,2016,"Oman,72,2016"
Norway,10,2015,"Norway,10,2015"
Myanmar,89,2017,"Myanmar,89,2017"
Nauru,44,2011,"Nauru,44,2011"
Israel,20,2010,"Israel,20,2010"
Netherlands,8,2021,"Netherlands,8,2021"
Paraguay,47,2009,"Paraguay,47,2009"
Kiribati,16,2015,"Kiribati,16,2015"
Lesotho,69,2011,"Lesotho,69,2011"
Tonga,33,2007,"Tonga,33,2007"
Haiti,86,2008,"Haiti,86,2008"
Mali,89,2014,"Mali,89,2014"
Poland,10,2008,"Poland,10,2008"
Trinidad and Tobago,35,2017,"Trinidad and Tobago,35,2017"
Estonia,41,2022,"Estonia,41,2022"
Nicaragua,54,2012,"Nicaragua,54,2012"
Namibia,64,2017,"Namibia,64,2017"
Belgium,5,2019,"Belgium,5,2019"
Turkmenistan,85,2020,"Turkmenistan,85,2020"
Zimbabwe,90,2012,"Zimbabwe,90,2012"
Colombia,68,2019,"Colombia,68,2019"
Bahamas,34,2021,"Bahamas,34,2021"
Gabon,50,2007,"Gabon,50,2007"
Turkey,47,2013,"Turkey,47,2013"
North Macedonia,37,2013,"North Macedonia,37,2013"
Micronesia,44,2015,"Micronesia,44,2015"
Algeria,95,2021,"Algeria,95,2021"
Chile,10,2014,"Chile,10,2014"
Tunisia,59,2017,"Tunisia,59,2017"
Tuvalu,56,2008,"Tuvalu,56,2008"
Denmark,15,2008,"Denmark,15,2008"
Guatemala,19,2009,"Guatemala,19,2009"
Portugal,1,2010,"Portugal,1,2010"
Mauritania,83,2020,"Mauritania,83,2020"
Togo,62,2011,"Togo,62,2011"
Monaco,4,2006,"Monaco,4,2006"
Eritrea,83,2020,"Eritrea,83,2020"
Bhutan,93,2011,"Bhutan,93,2011"
Madagascar,72,2013,"Madagascar,72,2013"
Lesotho,67,2018,"Lesotho,67,2018"
Thailand,47,2010,"Thailand,47,2010"
Oman,49,2010,"Oman,49,2010"
Ethiopia,82,2019,"Ethiopia,82,2019"
Argentina,10,2021,"Argentina,10,2021"
Papua New Guinea,75,2019,"Papua New Guinea,75,2019"
Burundi,93,2019,"Burundi,93,2019"
Grenada,36,2013,"Grenada,36,2013"
Bahrain,63,2017,"Bahrain,63,2017"
Slovenia,46,2018,"Slovenia,46,2018"
Guyana,66,2020,"Guyana,66,2020"
Greece,19,2010,"Greece,19,2010"
Liberia,93,2011,"Liberia,93,2011"
South Korea,3,2008,"South Korea,3,2008"
Turkey,77,2013,"Turkey,77,2013"
Pakistan,100,2010,"Pakistan,100,2010"
Israel,19,2011,"Israel,19,2011"
Jamaica,63,2022,"Jamaica,63,2022"
Benin,80,2019,"Benin,80,2019"
Senegal,81,2013,"Senegal,81,2013"
Gabon,84,2018,"Gabon,84,2018"
Uzbekistan,77,2016,"Uzbekistan,77,2016"
Switzerland,11,2022,"Switzerland,11,2022"
Armenia,69,2014,"Armenia,69,2014"
Cape Verde Islands,69,2009,"Cape Verde Islands,69,2009"
St. Kitts and Nevis,51,2008,"St. Kitts and Nevis,51,2008"
Lesotho,62,2012,"Lesotho,62,2012"
Samoa,12,2018,"Samoa,12,2018"
Fiji,65,2019,"Fiji,65,2019"
Serbia,52,2016,"Serbia,52,2016"
Sierra Leone,74,2010,"Sierra Leone,74,2010"
South Africa,82,2021,"South Africa,82,2021"
United Arab Emirates,11,2018,"United Arab Emirates,11,2018"
The Gambia,80,2009,"The Gambia,80,2009"
Georgia,19,2011,"Georgia,19,2011"
Bahamas,57,2019,"Bahamas,57,2019"
Oman,75,2018,"Oman,75,2018"
Cambodia,75,2007,"Cambodia,75,2007"
Cape Verde Islands,76,2014,"Cape Verde Islands,76,2014"
Syria,112,2014,"Syria,112,2014"
Tonga,36,2012,"Tonga,36,2012"
Tanzania,74,2014,"Tanzania,74,2014"
Malaysia,14,2006,"Malaysia,14,2006"
Turkey,78,2019,"Turkey,78,2019"
Ukraine,40,2021,"Ukraine,40,2021"
Morocco,74,2018,"Morocco,74,2018"
St. Vincent and the Grenadines,31,2012,"St. Vincent and the Grenadines,31,2012"
Tonga,37,2012,"Tonga,37,2012"
Barbados,36,2008,"Barbados,36,2008"
Sudan,94,2010,"Sudan,94,2010"
Serbia,48,2013,"Serbia,48,2013"
Jamaica,42,2007,"Jamaica,42,2007"
Malta,21,2017,"Malta,21,2017"
Bosnia and Herzegovina,51,2019,"Bosnia and Herzegovina,51,2019"
Estonia,22,2018,"Estonia,22,2018"
Monaco,6,2010,"Monaco,6,2010"
Indonesia,71,2015,"Indonesia,71,2015"
Marshall Islands,28,2007,"Marshall Islands,28,2007"
eSwatini,68,2016,"eSwatini,68,2016"
The Gambia,84,2007,"The Gambia,84,2007"
Togo,86,2020,"Togo,86,2020"
Afghanistan,108,2022,"Afghanistan,108,2022"
eSwatini,65,2017,"eSwatini,65,2017"
Armenia,63,2022,"Armenia,63,2022"
Nauru,78,2011,"Nauru,78,2011"
Somalia,92,2017,"Somalia,92,2017"
Mexico,44,2019,"Mexico,44,2019"
Dominican Republic,70,2014,"Dominican Republic,70,2014"
Namibia,43,2015,"Namibia,43,2015"
Afghanistan,116,2019,"Afghanistan,116,2019"
Sweden,2,2020,"Sweden,2,2020"
Equatorial Guinea,72,2014,"Equatorial Guinea,72,2014"
Estonia,5,2013,"Estonia,5,2013"
Equatorial Guinea,80,2018,"Equatorial Guinea,80,2018"
Vanuatu,29,2013,"Vanuatu,29,2013"
Sudan,93,2018,"Sudan,93,2018"
Poland,5,2013,"Poland,5,2013"
Sweden,12,2021,"Sweden,12,2021"
Uruguay,10,2019,"Uruguay,10,2019"
Mozambique,53,2007,"Mozambique,53,2007"
Estonia,5,2013,"Estonia,5,2013"
Kosovo,90,2007,"Kosovo,90,2007"
Uganda,74,2015,"Uganda,74,2015"
Costa Rica,29,2008,"Costa Rica,29,2008"
Ecuador,48,2014,"Ecuador,48,2014"
Namibia,55,2015,"Namibia,55,2015"
Belarus,41,2008,"Belarus,41,2008"
Sweden,10,2018,"Sweden,10,2018"
Papua New Guinea,63,2018,"Papua New Guinea,63,2018"
India,79,2016,"India,79,2016"
Latvia,45,2017,"Latvia,45,2017"
Bosnia and Herzegovina,62,2015,"Bosnia and Herzegovina,62,2015"
Israel,12,2015,"Israel,12,2015"
Palestinian Territory,95,2011,"Palestinian Territory,95,2011"
Uruguay,19,2008,"Uruguay,19,2008"
Maldives,57,2008,"Maldives,57,2008"
Seychelles,20,2011,"Seychelles,20,2011"
China,23,2019,"China,23,2019"
Uzbekistan,63,2016,"Uzbekistan,63,2016"
Marshall Islands,62,2010,"Marshall Islands,62,2010"
Angola,92,2008,"Angola,92,2008"
Netherlands,6,2012,"Netherlands,6,2012"
Guyana,80,2020,"Guyana,80,2020"
Honduras,55,2011,"Honduras,55,2011"
Colombia,30,2010,"Colombia,30,2010"
eSwatini,76,2014,"eSwatini,76,2014"
Kosovo,104,2008,"Kosovo,104,2008"
Portugal,9,2009,"Portugal,9,2009"
Dominica,36,2015,"Dominica,36,2015"
Chile,17,2008,"Chile,17,2008"
Sri Lanka,89,2011,"Sri Lanka,89,2011"
Sri Lanka,96,2016,"Sri Lanka,96,2016"
Bahrain,65,2013,"Bahrain,65,2013"
Congo (Dem. Rep.),99,2015,"Congo (Dem. Rep.),99,2015"
Mozambique,76,2014,"Mozambique,76,2014"
Oman,79,2008,"Oman,79,2008"
Palestinian Territory,97,2017,"Palestinian Territory,97,2017"
Cameroon,88,2016,"Cameroon,88,2016"
Brunei,29,2012,"Brunei,29,2012"
Palau Islands,44,2013,"Palau Islands,44,2013"
Vanuatu,39,2019,"Vanuatu,39,2019"
Honduras,72,2009,"Honduras,72,2009"
Switzerland,14,2019,"Switzerland,14,2019"
Djibouti,88,2019,"Djibouti,88,2019"
Tajikistan,71,2015,"Tajikistan,71,2015"
Botswana,68,2018,"Botswana,68,2018"
Tuvalu,46,2012,"Tuvalu,46,2012"
Central African Republic,82,2007,"Central African Republic,82,2007"
Mali,73,2017,"Mali,73,2017"
Guyana,74,2022,"Guyana,74,2022"
Yemen,102,2018,"Yemen,102,2018"
Vatican City,14,2009,"Vatican City,14,2009"
Lebanon,101,2021,"Lebanon,101,2021"
United Arab Emirates,21,2017,"United Arab Emirates,21,2017"
Colombia,28,2018,"Colombia,28,2018"
France,2,2018,"France,2,2018"
Qatar,56,2006,"Qatar,56,2006"
Guinea,86,2020,"Guinea,86,2020"
Nauru,54,2022,"Nauru,54,2022"
Slovenia,14,2019,"Slovenia,14,2019"
Albania,46,2013,"Albania,46,2013"
India,65,2020,"India,65,2020"
Uzbekistan,88,2019,"Uzbekistan,88,2019"
Lebanon,88,2019,"Lebanon,88,2019"
Lesotho,64,2017,"Lesotho,64,2017"
Benin,67,2009,"Benin,67,2009"
Togo,89,2014,"Togo,89,2014"
Sweden,6,2015,"Sweden,6,2015"
Lesotho,57,2020,"Lesotho,57,2020"
Liberia,83,2020,"Liberia,83,2020"
Sudan,97,2015,"Sudan,97,2015"
Tonga,38,2018,"Tonga,38,2018"
Iran,97,2014,"Iran,97,2014"
Czech Republic,23,2016,"Czech Republic,23,2016"
Libya,89,2016,"Libya,89,2016"
Kiribati,51,2017,"Kiribati,51,2017"
Brunei,47,2020,"Brunei,47,2020"
Congo (Rep.),93,2013,"Congo (Rep.),93,2013"
Albania,52,2009,"Albania,52,2009"
Sweden,7,2021,"Sweden,7,2021"
Togo,67,2020,"Togo,67,2020"
Cameroon,87,2007,"Cameroon,87,2007"
Germany,1,2009,"Germany,1,2009"
Uruguay,60,2021,"Uruguay,60,2021"
France,5,2021,"France,5,2021"
Palau Islands,62,2021,"Palau Islands,62,2021"
Haiti,104,2019,"Haiti,104,2019"
Azerbaijan,45,2020,"Azerbaijan,45,2020"
Albania,38,2020,"Albania,38,2020"
Colombia,64,2016,"Colombia,64,2016"
Central African Republic,77,2009,"Central African Republic,77,2009"
Algeria,82,2010,"Algeria,82,2010"
Algeria,88,2019,"Algeria,88,2019"
Kyrgyzstan,82,2008,"Kyrgyzstan,82,2008"
Ghana,62,2012,"Ghana,62,2012"
Kiribati,53,2021,"Kiribati,53,2021"
Micronesia,70,2013,"Micronesia,70,2013"
Mexico,5,2014,"Mexico,5,2014"
Serbia,48,2011,"Serbia,48,2011"
Slovakia,9,2017,"Slovakia,9,2017"
Djibouti,84,2018,"Djibouti,84,2018"
Montenegro,63,2014,"Montenegro,63,2014"
Armenia,81,2016,"Armenia,81,2016"
South Sudan,88,2008,"South Sudan,88,2008"
Japan,3,2020,"Japan,3,2020"
Portugal,8,2016,"Portugal,8,2016"
Vanuatu,74,2020,"Vanuatu,74,2020"
Albania,41,2015,"Albania,41,2015"
Jamaica,58,2018,"Jamaica,58,2018"
Hong Kong (SAR China),13,2008,"Hong Kong (SAR China),13,2008"
Morocco,82,2019,"Morocco,82,2019"
Singapore,2,2007,"Singapore,2,2007"
The Gambia,74,2008,"The Gambia,74,2008"
Argentina,31,2008,"Argentina,31,2008"
Turkmenistan,87,2015,"Turkmenistan,87,2015"
United Kingdom,20,2018,"United Kingdom,20,2018"
